keyword,intersection
[부산 갈맷길 2코스] 2구간 민락교~오륙도,"['괜찮다', '드물다', '맛있다', '쨍하다', '넓다', '반갑다', '맑다', '재밌다', '깊다', '드넓다', '고맙다', '멋지다', '파랗다', '눈부시다', '과하다', '아쉽다', '아름답다', '멋있다', '새롭다', '부럽다', '차갑다', '그립다', '끊임없다', '귀하다', '뜨겁다', '엄청나다', '이쁘다', '재미있다', '힘들다', '흐리다', '편하다', '붉다', '예쁘다', '힘차다', '예뻤다', '비싸다', '즐겁다', '야무지다']"
café de 220VOLT,"['따숩다', '괜찮다', '쨍하다', '맛있다', '넓다', '반갑다', '맑다', '맛없다', '재밌다', '부드럽다', '멋지다', '어둡다', '맛나다', '곱다', '뜨겁다', '이쁘다', '알맞다', '힘들다', '편하다', '예쁘다', '세차다']"
가덕도,"['드물다', '낯설다', '순하다', '변함없다', '곱다', '그립다', '외롭다', '흐드러지다', '뜨겁다', '엄청나다', '이쁘다', '알맞다', '힘들다', '드세다', '앙증맞다', '비싸다', '예뻤다', '귀엽다', '배고프다', '따숩다', '드넓다', '파랗다', '아쉽다', '험하다', '새롭다', '예뿌다', '남다르다', '차갑다', '놀랍다', '귀하다', '부드러우다', '귀여우다', '촌스럽다', '편하다', '흐리다', '붉다', '밝다', '괜찮다', '맛있다', '착하다', '반갑다', '맑다', '맛없다', '재밌다', '깊다', '멋지다', '고맙다', '어둡다', '진하다', '과하다', '맛나다', '아름답다', '가파르다', '번거롭다', '인상깊다', '배부르다', '재미있다', '해맑다', '즐겁다', '세차다', '야무지다', '슬프다', '넓다', '정겹다', '시끄럽다', '심심찮다', '부드럽다', '뜻깊다', '힘겹다', '눈부시다', '환하다', '연하다', '푸르다', '멋있다', '부럽다', '기쁘다', '시리다', '알차다', '예쁘다', '힘차다', '재미없다', '부끄럽다', '습하다', '정신없다']"
가덕도 등대,"['괜찮다', '맛있다', '넓다', '반갑다', '맑다', '맛없다', '시끄럽다', '재밌다', '깊다', '드넓다', '부드럽다', '멋지다', '고맙다', '뜻깊다', '힘겹다', '과하다', '아쉽다', '맛나다', '환하다', '아름답다', '기쁘다', '놀랍다', '귀하다', '이쁘다', '알차다', '힘들다', '편하다', '예쁘다', '붉다', '즐겁다', '귀엽다']"
가덕도 연대봉,"['괜찮다', '맛있다', '넓다', '반갑다', '맑다', '시끄럽다', '재밌다', '깊다', '어둡다', '멋지다', '눈부시다', '아쉽다', '푸르다', '아름답다', '멋있다', '차갑다', '놀랍다', '귀하다', '엄청나다', '이쁘다', '알맞다', '재미있다', '알차다', '힘들다', '편하다', '예쁘다', '붉다', '비싸다', '밝다', '야무지다', '귀엽다']"
가덕도대항인공동굴,"['따숩다', '괜찮다', '드물다', '맛있다', '낯설다', '착하다', '슬프다', '반갑다', '넓다', '뛰어나다', '맑다', '정겹다', '시끄럽다', '재밌다', '깊다', '드넓다', '아름다우다', '멋지다', '고맙다', '어둡다', '부드럽다', '뜻깊다', '파랗다', '힘겹다', '눈부시다', '아쉽다', '험하다', '맛나다', '환하다', '연하다', '푸르다', '아름답다', '변함없다', '멋있다', '새롭다', '차갑다', '뜨거우다', '그립다', '가파르다', '귀하다', '흐드러지다', '엄청나다', '이쁘다', '인상깊다', '시리다', '재미있다', '알차다', '힘들다', '편하다', '흐리다', '붉다', '예쁘다', '힘차다', '해맑다', '비싸다', '친하다', '부끄럽다', '즐겁다', '속상하다', '습하다', '밝다', '야무지다', '귀엽다']"
가덕해양파크휴게소,"['괜찮다', '드물다', '맛있다', '착하다', '슬프다', '반갑다', '넓다', '재미나다', '맑다', '정겹다', '시끄럽다', '재밌다', '깊다', '드넓다', '아름다우다', '멋지다', '고맙다', '어둡다', '부드럽다', '뜻깊다', '힘겹다', '진하다', '눈부시다', '두렵다', '아쉽다', '맛나다', '환하다', '색다르다', '연하다', '푸르다', '아름답다', '활기차다', '멋있다', '예뿌다', '새롭다', '부럽다', '차갑다', '곱다', '놀랍다', '그립다', '끊임없다', '가파르다', '귀하다', '흐드러지다', '싱겁다', '뜨겁다', '엄청나다', '이쁘다', '오지다', '시리다', '까다롭다', '알맞다', '배부르다', '재미있다', '귀여우다', '알차다', '힘들다', '편하다', '흐리다', '붉다', '예쁘다', '힘차다', '재미없다', '비싸다', '친하다', '즐겁다', '습하다', '세차다', '밝다', '야무지다', '귀엽다']"
가야공원 / 가야산책공원,"['드물다', '낯설다', '순하다', '변함없다', '곱다', '그립다', '외롭다', '흐드러지다', '뜨겁다', '엄청나다', '이쁘다', '오지다', '알맞다', '힘들다', '앙증맞다', '비싸다', '예뻤다', '속상하다', '귀엽다', '배고프다', '따숩다', '드넓다', '파랗다', '아쉽다', '험하다', '손쉽다', '새롭다', '예뿌다', '남다르다', '차갑다', '놀랍다', '귀하다', '싱겁다', '부드러우다', '귀여우다', '촌스럽다', '편하다', '흐리다', '붉다', '밝다', '괜찮다', '맛있다', '착하다', '반갑다', '맑다', '맛없다', '재밌다', '깊다', '멋지다', '고맙다', '어둡다', '진하다', '과하다', '맛나다', '아름답다', '활기차다', '슴슴하다', '뜨거우다', '가파르다', '그지없다', '인상깊다', '까다롭다', '배부르다', '재미있다', '해맑다', '즐겁다', '세차다', '야무지다', '쨍하다', '슬프다', '넓다', '뛰어나다', '재미나다', '정겹다', '시끄럽다', '심심찮다', '아름다우다', '부드럽다', '뜻깊다', '힘겹다', '눈부시다', '두렵다', '환하다', '색다르다', '연하다', '푸르다', '멋있다', '부럽다', '기쁘다', '기름지다', '알차다', '예쁘다', '힘차다', '재미없다', '친하다', '부끄럽다', '습하다', '휑하다', '정신없다']"
감만시민공원,"['예뿌다', '편하다', '힘들다', '예쁘다', '맛있다', '붉다', '아쉽다', '환하다', '재밌다', '뜻깊다']"
감지해변,"['낯설다', '변함없다', '곱다', '그립다', '외롭다', '뜨겁다', '엄청나다', '이쁘다', '알맞다', '힘들다', '비싸다', '예뻤다', '속상하다', '귀엽다', '배고프다', '드넓다', '파랗다', '아쉽다', '손쉽다', '새롭다', '예뿌다', '차갑다', '놀랍다', '귀하다', '싱겁다', '귀여우다', '편하다', '흐리다', '붉다', '밝다', '괜찮다', '맛있다', '착하다', '반갑다', '맑다', '맛없다', '재밌다', '깊다', '멋지다', '고맙다', '어둡다', '진하다', '과하다', '맛나다', '아름답다', '활기차다', '뜨거우다', '가파르다', '그지없다', '인상깊다', '까다롭다', '배부르다', '재미있다', '해맑다', '즐겁다', '세차다', '야무지다', '쨍하다', '슬프다', '넓다', '뛰어나다', '정겹다', '시끄럽다', '아름다우다', '부드럽다', '힘겹다', '눈부시다', '두렵다', '환하다', '색다르다', '연하다', '푸르다', '멋있다', '부럽다', '기쁘다', '시리다', '기름지다', '알차다', '예쁘다', '힘차다', '재미없다', '부끄럽다', '습하다', '휑하다', '정신없다']"
