travel_spot_name,ts_long,ts_lat
외양포항,128.832951,35.03059938
연태봉,128.832951,35.03059938
정란각/문화공감수정,129.0426663,35.12558704
가덕도대항인공동굴,128.8274686,35.01330955
월전장어구이촌,129.2441707,35.2381615
금정산성 막걸리,129.0564228,35.25042331
화전공원,128.8791616,35.10565571
델타루 (에코델타시티 전망대),128.922057,35.13641139
캐니언파크 부산,129.0654692,35.14830436
부산롯데월드,129.2129995,35.19606841
용호별빛공원,129.1201732,35.13225717
동래온천길(온천천 산책코스),129.1024593,35.19162797
해운대 그린레일웨이 (미포~송정 구간),129.1711291,35.1603383
부산 칠드런스 뮤지엄,129.2177964,35.19205784
통일아시아드공원,128.9800346,35.0594544
녹산고향동산,128.8860013,35.15431705
오륙도해맞이공원,129.1230988,35.10164954
이기대 섭자리,117.9925663,19.69442748
달맞이동산,129.1821533,35.15713053
대천공원,129.1678566,35.18137755
감천사(부산),129.0912632,35.1833037
국청사(부산),129.0549922,35.25388956
금수사(부산),129.0296787,35.12042071
금정선원,129.0741053,35.22163519
마하사(부산),129.0876863,35.1639058
미륵사(부산),129.0489255,35.27400663
법륜사(부산),129.0882185,35.20378468
소름요,129.2417735,35.24337476
신세계 센텀시티,129.1297408,35.16878659
낙동강하구에코센터,128.9458947,35.10442929
해운대 동백섬,129.152181,35.15399144
금정산,129.0518588,35.26844898
다대포해수욕장,128.9680332,35.04641953
장안사(부산),129.2328734,35.37456822
태종사,129.0897752,35.05600958
초량교회,129.0369614,35.11714343
해동 용궁사(부산),129.2235599,35.18828337
부산 중앙공원,129.0278124,35.11213827
친환경 스카이웨이 전망대(이바구길),129.0306535,35.12130952
민주공원,129.0281096,35.10938025
태종대온천찜질방,129.0787787,35.06458897
평화공원,129.099578,35.12532145
공수어촌체험마을,129.2111944,35.18445857
동래온천 노천족탕,129.0814742,35.22003829
금강식물원,129.0770633,35.22647637
대변마을,129.2303944,35.22482385
영도 등대,129.0923639,35.05239337
영도대교,129.0367343,35.09407101
송정 죽도공원,129.2061339,35.1799562
문화공감 수정(부산 수정동 일본식 가옥),129.0426663,35.12558704
부산 진지성,129.0604644,35.13576678
부산진일신여학교,129.0528985,35.13483064
온정개건비,129.081327,35.22010772
해월정,129.1841753,35.15850541
전포카페거리,129.0629164,35.15640063
임랑해수욕장,129.2620864,35.31601422
신선대(부산),129.1033783,35.10331843
오륙도 스카이워크,129.1229377,35.10228002
대각사(부산),129.0306263,35.101084
수리조선소길,129.0334902,35.09237948
당산,129.0344089,35.1171295
관수옥과 초량왜관 터,129.0327484,35.10053966
이기대,129.127162,35.1162452
기장향교,129.2158837,35.2578421
용두산 자갈치 관광특구,129.0306014,35.09666505
삼진어묵체험·역사관,129.0428033,35.09299347
대저생태공원,128.9845662,35.20987375
봉래산(부산),129.0584994,35.08256992
부산영화체험박물관,129.0336899,35.10175899
부산차량융합기술단(부산철도차량정비단),129.0482426,35.160586
만들숲,129.0645828,35.16395537
낙동강문화관,128.9474417,35.10828722
청사포 다릿돌전망대,129.1954075,35.1633523
산복도로,129.0309233,35.1092331
동래읍성지,129.0930236,35.20410418
아미르공원,129.0774424,35.0762932
구포만세거리,129.0016759,35.2092658
부산시민공원,129.0558807,35.16549392
백양산 웰빙숲,129.011434,35.18439099
KT&G 상상마당 부산,129.0573309,35.15431743
송도용궁구름다리,129.022017,35.06195767
해운대리버크루즈,129.1273244,35.1679172
성지곡수원지,129.0424174,35.18536923
가덕도 연대봉,128.8216714,35.03175182
용소웰빙공원,129.20421,35.24628207
물빛색스튜디오,128.9797833,35.20939316
대저수문 생태공원,128.9924095,35.23009663
비석문화마을,129.0124474,35.09985325
닥밭골 벽화마을,129.0235905,35.11432684
해동성취사(노지캠핑),129.2544186,35.28127353
해광사,129.225762,35.20557592
학리항(학리방파제),129.2477531,35.25997301
칠암항,129.2602898,35.29862169
젖병등대,129.2230815,35.21382772
옥정사,129.2225233,35.31128068
이동항,129.2446919,35.27174663
묘관음사,129.2662747,35.32286631
감만시민공원,129.0687505,35.10970874
누리바라기전망대,129.0203303,35.09079885
만덕고개 누리길 전망데크,129.0573042,35.21428015
울림공원,128.9270381,35.10165981
신호공원,128.8707796,35.08191377
온천천시민공원,129.0951265,35.19252496
보람공원,128.843243,35.0881459
명지동근린공원,128.9066569,35.0870333
밀락더마켓,129.1270665,35.15426039
성암사(부산),129.0800958,35.14567992
안적사(부산),129.1698889,35.21427668
약수암(부산),128.9965272,35.17822751
운수사(부산),129.0134339,35.18358278
조방해수탕,129.0625724,35.14185225
혜원정사,129.0907133,35.18401749
중앙해수랜드,129.1106576,35.12562718
스파랜드 센텀시티,129.1290909,35.1686477
다대포 꿈의 낙조분수,128.9680332,35.04641953
내원정사(부산)-템플스테이,129.0122828,35.12654748
부산어촌민속관,129.0084663,35.23376595
부산 가톨릭센터,129.0290347,35.10421418
부산박물관,129.0947839,35.12955422
정인갤러리,129.036162,35.09954261
추리문학관,129.1833308,35.16169393
복천박물관(부산),129.0911042,35.20889249
백산기념관,129.0345787,35.10197842
부산시립미술관,129.1370458,35.16669807
구덕 민속예술관,129.018524,35.12392845
수영민속예술관,129.1139699,35.17121936
부산 강서문화원,128.9805054,35.21132351
부산해양자연사박물관,129.0759941,35.22196852
한광미술관,129.0374394,35.10897491
수산과학관(부산),129.2223127,35.19115802
부산공간화랑,129.1502005,35.1576771
부산세관박물관,129.0383005,35.10485595
40계단 문화관,129.0345398,35.10503363
벡스코(BEXCO),129.1363347,35.16911167
부산자유회관(부산통일관),129.0455756,35.18287512
부산광역시립 부전도서관,129.0622193,35.15586734
부산광역시립 사하도서관,128.9910825,35.10334969
부산 해운대도서관,129.1689872,35.1779224
동삼동패총전시관,129.0796423,35.07121603
부산광역시 영도도서관,129.0660434,35.07550141
부산광역시립 중앙도서관,129.0269458,35.10999405
부산점자도서관,128.9898028,35.17813018
국립부산국악원,129.0542529,35.17144045
오륜대 한국순교자박물관,129.1015467,35.24615795
부산과학기술대학교 민속자료실,129.0042455,35.19446195
임시수도기념관,129.0176357,35.10376402
우장춘기념관,129.072028,35.21352495
조선통신사역사관,129.0620171,35.13577237
국립해양박물관,129.0803198,35.07854022
부산 트릭아이뮤지엄,129.0336899,35.10175899
누리마루 APEC하우스,129.1513116,35.15239438
킴스아트필드미술관,129.0542062,35.25243971
요산문학관,129.0857918,35.27236861
이바구공작소,129.033845,35.11712671
해양환경공단 해양환경교육원(부산),129.0779422,35.0802261
한국기독교선교박물관,129.0824607,35.20173202
국립일제강제동원역사관,129.0918731,35.1243242
범어사 성보박물관,129.0681153,35.28397532
정관박물관,129.1849372,35.32694489
유엔평화기념관,129.0933063,35.12505192
부산 스마트시티 전시관,129.130724,35.17287781
부산현대미술관,128.9427199,35.10937035
SEA LIFE 부산아쿠아리움,129.1610328,35.15919658
국립부산과학관,129.212716,35.20461467
뮤지엄 원,129.1290603,35.17141128
피아크 P.ARK,129.0767922,35.08636984
현대모터스튜디오 부산,129.1156002,35.17626604
영도 조내기 고구마 역사기념관,129.0583549,35.08533072
놀이마루,129.0628998,35.15640896
아난티코브 야외공연장,129.228612,35.19823235
서면미술관,129.0626026,35.15397589
AREA6,129.0430616,35.09292126
부산근대역사관,129.0312012,35.10268384
한국신발관,129.0258252,35.15734428
모노플렉스 오시리아,129.2139967,35.19396311
창비부산,129.0391696,35.11637689
박태준기념관,129.2612503,35.3169141
갤러리 ERD 부산,129.1639936,35.16106864
브릭캠퍼스 부산,129.2149856,35.19286325
센텀시티 아이스링크,129.129552,35.16885602
용호동일대 바다낚시,129.1152931,35.13349027
해운대일대(낚시터),129.1600718,35.15908824
태종대일대,129.0798065,35.0597312
수영만 요트경기장,129.1405651,35.16092934
부산 아시아드주경기장,129.0582326,35.19022453
스포원파크 경륜장,129.1070701,35.28916157
