,name,lat,lon,geometry,travel_bus
69,나가하마만게츠,35.1666404,129.1574829,POINT (129.1574829 35.1666404),우1치안센터
70,낙동강 생태탐방선,35.109748,128.9491877,POINT (128.9491877 35.109748),을숙도문화회관
71,낙동강구포나루축제,35.2266865,129.0035081,POINT (129.0035081 35.2266865),한국방송통신대
72,낙동강문화관,35.1082572,128.947434,POINT (128.947434 35.1082572),을숙도문화회관
73,낙동강생태탐방선,35.2266865,129.0035081,POINT (129.0035081 35.2266865),한국방송통신대
74,낙동강유채꽃축제,35.2098957,128.9842032,POINT (128.9842032 35.2098957),대저동
75,낙동강하구에코센터,35.104497,128.9459942,POINT (128.9459942 35.104497),을숙도문화회관
76,남도해양관광열차 S-트레인(S-train),35.1170576,129.0436878,POINT (129.0436878 35.1170576),초량역.초량교차로
77,남선창고터,35.1167718,129.0395023,POINT (129.0395023 35.1167718),국민은행
78,남천녹차팥빙수,35.1406884,129.1086625,POINT (129.1086625 35.1406884),해변시장
79,남파랑길,35.1023458,129.1229897,POINT (129.1229897 35.1023458),오륙도스카이워크
80,내원정사,35.1281432,129.0115557,POINT (129.0115557 35.1281432),구덕꽃마을
81,녹산고향동산,35.1565815,128.8845211,POINT (128.8845211 35.1565815),범방주유소
82,놀이마루,35.1561824,129.063288,POINT (129.063288 35.1561824),부전도서관
83,누리마루 APEC하우스,35.1523864,129.1513029,POINT (129.1513029 35.1523864),한화리조트
84,누리바라기전망대,35.0907458,129.0202893,POINT (129.0202893 35.0907458),대원사
85,다대포 꿈의 낙조분수,35.0457857,128.968704,POINT (128.968704 35.0457857),다대포해수욕장
86,다대포항,35.0568174,128.979237,POINT (128.979237 35.0568174),다대큰샘
87,다대포해수욕장,35.0469015,128.9662387,POINT (128.9662387 35.0469015),다대포해수욕장역
88,다리집,35.1478854,129.1112638,POINT (129.1112638 35.1478854),건강보험공단
89,다솥맛집,35.1785682,129.197913,POINT (129.197913 35.1785682),광어골입구
90,다이도코로,35.1466425,129.1125436,POINT (129.1125436 35.1466425),남천부산은행
91,다이아몬드베이,35.1295917,129.11584,POINT (129.11584 35.1295917),분포고등학교
92,닥밭골 벽화마을,35.1142737,129.0235466,POINT (129.0235466 35.1142737),동대신2동
93,달맞이동산,35.1624207,129.1782858,POINT (129.1782858 35.1624207),동백중학교
94,닭발의지존,35.1701834,129.1107312,POINT (129.1107312 35.1701834),수영아파트
95,당산,35.117236,129.0344454,POINT (129.0344454 35.117236),동일파크맨션
96,대각사,35.1010159,129.0306802,POINT (129.0306802 35.1010159),국제시장.부산근대역사관
97,대변마을,35.2247882,129.2303769,POINT (129.2303769 35.2247882),대변
98,대신공원,35.1207576,129.0142609,POINT (129.0142609 35.1207576),구덕초등학교
99,대연수목전시원,35.1255017,129.0989283,POINT (129.0989283 35.1255017),용당동갓골
100,대저생태공원,35.2048909,128.982775,POINT (128.982775 35.2048909),강서구청역
101,대저수문 생태공원,35.229945,128.992266,POINT (128.992266 35.229945),대저수문
102,대저캠핑장,35.2135357,128.9986046,POINT (128.9986046 35.2135357),구포종점
103,대저토마토축제/강서체육공원,35.209882,128.972345,POINT (128.972345 35.209882),강서체육공원
104,대정양곱창,35.0999864,129.0261188,POINT (129.0261188 35.0999864),부평시장
105,대천공원,35.1811394,129.167494,POINT (129.167494 35.1811394),대림1차.양운고
106,대천천,35.2432716,129.0257187,POINT (129.0257187 35.2432716),흥아농장입구
107,대항 어촌체험 휴양마을,35.0116687,128.8276787,POINT (128.8276787 35.0116687),대항방파제
108,대항선착장,35.0122243,128.8273637,POINT (128.8273637 35.0122243),대항방파제
109,대항전망대,35.019448,128.8328216,POINT (128.8328216 35.019448),새바지입구
