parking_nm,p_latitude,p_longitude
신한은행부산금융센터 뒤 공영주차장,,
국제시장로 1구간 공영주차장,,
광복로 부평동구간 공영주차장,,
보수복개천 공영주차장,,
자갈치시장 앞 공영주차장,,
건어물시장 공영주차장,,
중앙동 공영주차장,,
영주 공영주차장,,
용두산 공영주차장,,
보수 공영주차장,,
보수종합시장 공영주차장,,
대청 공영주차장,,
부평 공영주차장,,
신창 공영주차장,,
자갈치 공영주차장,,
봉생병원옆,35.13086132,129.0505627
LIG사옥옆,35.13827371,129.0640755
SK증권앞,35.13956561,129.0610276
SK텔레콤앞,35.13676626,129.0630589
가구거리 공영,35.13613716,129.0553244
구봉성당복개도로,35.12220161,129.0378198
국일주택뒤,35.1284546,129.0389585
금복주앞,35.12553427,129.0466866
금성빌딩앞,35.11845666,129.0429384
눌원빌딩옆,35.1366352,129.065039
독도주차장,35.13563677,129.0529467
동구공영주차빌딩,35.11352832,129.0401986
동구청 공영,35.12929577,129.0452977
동구체육공원,35.1323287,129.0385856
명진빌딩1.2,35.12524118,129.0465389
명진빌딩뒤,35.12524118,129.0465389
모정장앞,35.11837406,129.0431338
범일1동공영주차장,35.13947459,129.0532274
범일4동 제2공영,35.14346251,129.0495404
범일4동공영,35.14051494,129.0516079
범일5동 시간제주차장,35.13372866,129.0566329
범일초등공영,35.13957116,129.0496534
부산일보별관,35.11286526,129.0401886
성북공영주차장,35.13729921,129.0479509
세방텔레콤앞,35.1301641,129.0529936
수성초등학교지하공영주차장,35.13455159,129.0427218
수정1동공영,35.12482562,129.0389031
수정2동공영,35.1305959,129.0391654
수정2동제2공영,35.13014573,129.0419229
수정4동공영,35.1273455,129.0416731
수정5동공영,35.13711518,129.0456733
수정변전소,35.1232013608,129.0450086325
수정산(동여중)공영,35.13294221,129.0404701
수정초등학교 지하공영주차장,35.13126498,129.0467291
수정터널밑,35.13130178,129.0558391
수정터널진입로밑,35.13134533,129.0564589
스카이웨이,35.12239082,129.0332091
범일전화국뒤,35.13771728,129.0624598
왕자빌딩앞,35.11725625,129.0425136
자성대 서문옆,35.13629864,129.0602475
자유시장 뒤,35.1409748,129.0610412
수정2동 업무지,35.12748664,129.0480474
좌1-1(주거지),35.13610235,129.0535508
좌1-2(주거지),35.13463713,129.0515092
좌1-3(주거지),35.13567909,129.0515129
좌1-5(주거지),35.1313898,129.0491543
좌1-6(주거지),35.13268688,129.0538992
좌4-1(주거지),35.13794827,129.0482085
좌4-2(주거지),35.13422946,129.0481373
좌4-3(주거지),35.13651503,129.0496163
좌4-4(주거지),35.13628009,129.0481623
