,parking_nm,addr,Latitude,Longitude
72,금샘로노상공영주차장,부산광역시 금정구 금샘로 553-1,35.2717423,129.084858
73,온천천복개도로노상공영주차장,부산광역시 금정구 범어천로 62,35.2717976,129.0894366
74,금정농협앞노상공영주차장,부산광역시 금정구 금강로 717,35.2715844,129.0887885
75,서1동제1공영주차장,부산광역시 금정구 서동로 103번길 39,35.2180968,129.0993882
76,서1동제2공영주차장,부산광역시 금정구 동현로 131,35.2184334,129.0970619
77,서1동제3공영주차장,부산광역시 금정구 명서로 41,35.2160517,129.0953033
78,서1동제4공영주차장,부산광역시 금정구 서부로 109,35.219387,129.0961752
79,서2동공영주차장,부산광역시 금정구 서동중심로 60-14,35.2138546,129.1038824
80,서2동오차로공영주차장,부산광역시 금정구 명서로 45번길 74,35.2149954,129.098963
81,서3동제1공영주차장,부산광역시 금정구 서금로 42-1,35.219251,129.1061743
82,서3동제2공영주차장,부산광역시 금정구 서부로30번길 24,35.2175286,129.1034884
83,서3동제3공영주차장,부산광역시 금정구 서동로 103번길 92,35.2168093,129.1017038
84,금사동제1공영주차장,부산광역시 금정구 서곡로 20번길 121,35.2209457,129.1095057
85,금사동제2공영주차장,부산광역시 금정구 금사로 85번길 10,35.2202375,129.1113447
86,부곡2동공영주차장,부산광역시 금정구 부곡로 132,35.2276886,129.0923915
87,부곡4동공영주차장,부산광역시 금정구 서동로 55,35.2185916,129.0935251
88,온천장북측공영주차장,부산광역시 금정구 장전온천천로 48,35.2326161,129.0892222
89,남산동요산공영주차장,부산광역시 금정구 팔송로 51,35.2718198,129.0869705
90,구서1동공영주차장,부산광역시 금정구 금강로 446번길 20,35.2479165,129.0893642
91,두실공영주차장,부산광역시 금정구 중앙대로 1893번길 33,35.2530378,129.0892921
92,범어사상마공영주차장,부산광역시 금정구 범어사로 307,35.2798636,129.0742632
93,구서동만남의광장공영주차장,부산광역시 금정구 중앙대로 1810,35.2471152,129.0948562
94,금정구청후문노상공영주차장,부산광역시 금정구 중앙대로 1777,35.2428426,129.0921739
95,SK아파트뒤노상공영주차장,부산광역시 금정구 수림로 12,35.2403742,129.0914245
96,선동공영주차장,부산광역시 금정구 범어사로 307,35.2798636,129.0742632
97,오륜동공영주차장,부산광역시 금정구 범어사로 307,35.2798636,129.0742632
98,금샘공영주차장,부산광역시 금정구 기찰로 94,35.2391546,129.0939285
99,공영주차장(감전중고차시장),부산광역시 사상구 학감대로221번길 26,35.1511234,128.9886104
100,감전시장주변,부산광역시 사상구 대동로 303,35.1545869,128.9861346
101,파라곤호텔주변,부산광역시 사상구 광장로 34,35.1619895,128.9803153
102,학장지구대주변,부산광역시 사상구 대동로 205,35.1460848,128.9838273
103,한국강관주변,부산광역시 사상구 장인로17번길 78,35.1476735,128.9729367
104,위생처리장주변,부산광역시 사상구 낙동대로943번길 157,35.136272,128.9682889
105,공영주차장(주례역),부산광역시 사상구 가야대로 288,35.1500081,129.0041032
106,공영주차장(사상초등학교),부산광역시 사상구 운산로 81,35.1674516,128.985584
107,공영주차장(사상전화국),부산광역시 사상구 가야대로176번길 53,35.1468629,128.9915428
