,parking_nm,addr,Latitude,Longitude
315,반여2동 제1공영,부산광역시 해운대구 재반로211번길 62 (반여동),35.1957363,129.1274349
316,반여2동 제2공영,부산광역시 해운대구 재반로184번길 31 (반여동),35.1943089,129.1323213
317,반여4동 공영,부산광역시 해운대구 반여동 620-14번지,35.2094523,129.1167604
318,반송1동 제1공영,부산광역시 해운대구 반송순환로 24 (반송동),35.2209395,129.1464476
319,반송1동 제2공영,부산광역시 해운대구 반송순환로 164 (반송동),35.2248334,129.1515773
320,죽도공원,부산광역시 해운대구 좌2동 1474번지,35.1676587,129.1760385
321,좌동청소년문화의집부지 공영,부산광역시 해운대구 좌1동 1458-4번지,35.1701789,129.1749331
322,문탠로드관광 공영,부산광역시 해운대구 중1동 974-1번지,35.1604719,129.1719694
323,재송2동 공영,부산광역시 해운대구 재송2동 1042-3번지,35.1923038,129.1266638
324,반송2동 공영,부산광역시 해운대구 윗반송로 26,35.2320227,129.1568529
325,해월정 달맞이길 공영,부산광역시 해운대구 달맞이길 190 (중동),35.1624207,129.1782858
326,동백 공영,부산광역시 해운대구 우1동 1151-3번지,35.1579456,129.153246
327,청사포 공영,부산광역시 해운대구 중동 553번지,35.1619351,129.1918024
328,재반로 노상공영 A,부산광역시 해운대구 재반로 일원(반여동1291-1199),35.1963666,129.1308883
329,재반로 노상공영 B,부산광역시 해운대구 재반로 일원(반여동1291-1199),35.1963666,129.1308883
330,재반로 노상공영 C,부산광역시 해운대구 재반로 일원(반여동1291-1199),35.1963666,129.1308883
331,재반로 노상공영 D,부산광역시 해운대구 재반로 일원(반여동1291-1199),35.1963666,129.1308883
332,대천공원공영주차장,부산광역시 해운대구 좌동 1384번지,35.1784687,129.1684237
333,동백공원공영주차장,부산광역시 해운대구 우동 721번지,35.1550831,129.1516065
334,왕자주차장,부산광역시 해운대구 반여1동1405-37,35.1960394,129.1178791
335,양지주차장,부산광역시 해운대구 반송1동250-2343,35.2197162,129.1527319
336,장원주차장,"부산광역시 해운대구 반여1동1244-4,5",35.2052755,129.1249222
337,송림주차장,"부산광역시 해운대구 우1동703-1,19",35.1582408,129.1565056
338,미포주차장,부산광역시 해운대구 중1동1035-2,35.1594146,129.170568
339,반여주차장,부산광역시 해운대구 반여1동1010-9,35.2057659,129.125008
340,예스렌트카주차장,부산광역시 해운대구 중1동836,35.1631879,129.1728766
341,진영주차장,"부산광역시 해운대구 반송1동250-2296,2297",35.2198584,129.1530327
342,삼성주차장,"부산광역시 해운대구 중1동1382-1,6,8,10",35.161848,129.1615102
343,성진주차장,부산광역시 해운대구 재송1동1118-4,35.1853375,129.1261406
344,태영주차장,부산광역시 해운대구 우1동544-1,35.1615586,129.1598267
345,일승주차장,부산광역시 해운대구 좌1동420-1,35.1737104,129.1770796
346,제일주차장,부산광역시 해운대구 반송1동744-87외1,35.2244685,129.146528
347,해운대역주차장,부산광역시 해운대구 우1동552-21 (구562-4),35.1651483,129.1606285
348,고려주차장,부산광역시 해운대구 중1동1378-77,35.1636146,129.1635934
349,제일주차장,부산광역시 해운대구 우1동175-3,35.1668465,129.1608118
350,신도시주차장,부산광역시 해운대구 좌1동912,35.174463,129.1739178
351,보성주차장,부산광역시 해운대구 반여1동955,35.2070956,129.1256667
352,24시주차장,부산광역시 해운대구 우1동647-8,35.1598768,129.1555662
353,해우주차장,부산광역시 해운대구 중1동1396-59,35.1609404,129.1626322
354,우동주차장,"부산광역시 해운대구 우1동437-3,439-1,440-3",35.167415,129.1591536
355,대성주차장,부산광역시 해운대구 반송1동259-111,35.2252453,129.1477727
356,해운대구청주차장,부산광역시 해운대구 중1동1378-95,35.1631596,129.1638525
357,반여동주차장,부산광역시 해운대구 반여1동740-6,35.2114674,129.1258489
358,신라주차장,"부산광역시 해운대구 재송2동210-27,42",35.1880208,129.121296
359,신촌주차장,부산광역시 해운대구 반여1동1248,35.205266,129.1255524
360,반송주차장,부산광역시 해운대구 반송1동744-206,35.2239598,129.1468482
361,영광주차장,"부산광역시 해운대구 우1동612-6,7",35.1632102,129.1609281
362,해천주차장,부산광역시 해운대구 반송1동250-2292,35.2202614,129.1527407
363,기장주차장,부산광역시 해운대구 우1동542-25,35.1616615,129.1596251
364,대영주차장,부산광역시 해운대구 재송1동1071-26,35.1862317,129.1214734
365,부일주차장,부산광역시 해운대구 우1동151-4외1,35.1669152,129.1599489
366,성심주차장,부산광역시 해운대구 반송1동261-131,35.2267217,129.14779
367,송민주차장,"부산광역시 해운대구 반송1동250-1004,1005",35.2223192,129.1497063
368,유진주차장,"부산광역시 해운대구 반송2동331-8,13",35.2314312,129.1535853
369,주차장,부산광역시 해운대구 중동 276-1,35.1685895,129.1717072
370,누리주차장,부산광역시 해운대구 우동 641-14,35.1616352,129.1563429
371,한라주차장,부산광역시 해운대구 좌동 1521-3,35.1838918,129.1763937
372,해운대블루주차장,부산광역시 해운대구 좌동 1360,35.1682661,129.1638287
373,대천주차장,부산광역시 해운대구 좌동 1482-4,35.1677701,129.1780313
374,5994주차장,부산광역시 해운대구 반여동 1607-18,35.1993104,129.1319558
375,청도주차장,부산광역시 해운대구 반송1동250-1687,35.2244209,129.148788
376,K.T주차장,부산광역시 해운대구 중1동1364-12외2,35.1649763,129.1639992
377,극동주차장,부산광역시 해운대구 중1동944-14,35.1606484,129.1709567
378,리베라세이브존주차장,부산광역시 해운대구 중1동1394-174,35.1627806,129.1619208
379,대신주차장,부산광역시 해운대구 반여3동1603-19,35.2003786,129.1313699
380,흥안인더스트리,부산광역시 해운대구 우1동626-4,35.1602169,129.1606265
381,GS타임즈 해운대 제3,부산광역시 해운대구 우동 1305,35.1617706,129.1601887
382,한양주차장,부산광역시 해운대구 재송1동1087-1,35.1868841,129.1242152
383,GS타임즈 해운대 제2,부산광역시 해운대구 우1동762-46,35.1593969,129.1535244
384,행운주차장,부산광역시 해운대구 반여1동873,35.2087077,129.1240734
385,해동주차장,부산광역시 해운대구 우1동381-1,35.1688317,129.1563526
386,강남주차장,부산광역시 해운대구 반송1동250-1751,35.2244209,129.148788
387,해운대비치주차장,부산광역시 해운대구 우1동649-1,35.1593081,129.1563143
388,대천주차장,부산광역시 해운대구 좌2동1482-4,35.1677701,129.1780313
389,진영주차장,"부산광역시 해운대구 좌2동1480-2,3",35.1685624,129.1774774
390,지에스타임즈스테이션센텀필주차장,부산광역시 해운대구 재송1동12201221,35.1841107,129.1234151
391,해운대온천센터주차장,부산광역시 해운대구 중1동1370-7외 8필지,35.1633239,129.165228
392,신리주차장,부산광역시 해운대구 반송2동788-15외2,35.2308902,129.1530382
393,센텀Q주차장,부산광역시 해운대구 우2동1483,35.1729505,129.1315892
394,코리아주차장,부산광역시 해운대구 중1동204-4,35.1704703,129.1722084
395,KT해운대지점주차장,부산광역시 해운대구 우1동548,35.163347,129.1604756
396,조방주차장,부산광역시 해운대구 좌1동815-40,35.1732883,129.1723575
397,동백주차장,부산광역시 해운대구 우1동542-6,35.1619534,129.1595404
398,동백섬주차장,"부산광역시 해운대구 우1동747-5,-6,-9,-10-11",35.1571053,129.1526086
399,하나주차장,부산광역시 해운대구 좌1동985-8,35.1727076,129.174526
400,IS프라자 근린상가주차장,부산광역시 해운대구 좌4동1431,35.1742657,129.1817916
401,장산주차장,"부산광역시 해운대구 좌1동1463-1,2",35.1717015,129.1758431
402,우리주차장,부산광역시 해운대구 우1동541-1,35.162483,129.1594875
403,유로주차장,부산광역시 해운대구 우1동229-4,35.1677809,129.161229
404,반송주차장,부산광역시 해운대구 반송1동250-2463,35.2244209,129.148788
405,1박2일주차장,부산광역시 해운대구 우1동640-3,35.162237,129.1558026
406,스카이문주차장,"부산광역시 해운대구 중2동1489-1, 1487-15",35.1586994,129.1822118
407,개미주차장,"부산광역시 해운대구 우1동1366, 1369",35.1610028,129.1604478
408,선수촌주차장,"부산광역시 해운대구 반여1동1445-1,2",35.2007675,129.1200886
409,삼성주차장,부산광역시 해운대구 반여1동1200-2,35.2029049,129.118888
410,경안주차장,부산광역시 해운대구 반여1동289번지외 2필지,35.2128111,129.1276193
411,동해주차장,"부산광역시 해운대구 우1동520-23, 28, 38",35.1660011,129.1590215
412,광장주차장,부산광역시 해운대구 중1동1411-11,35.1596552,129.1629926
413,신일주차장,부산광역시 해운대구 우동629-2,35.1600067,129.1581912
414,보성주차장,부산광역시 해운대구 반여동1136,35.2086037,129.1167104
415,현대주차장,부산광역시 해운대구 우동 541-16,35.1622857,129.1593903
416,기린주차장,부산광역시 해운대구 송정동 129-5,35.185966,129.2027921
417,하나타워주차장,부산광역시 해운대구 중동 1013-1 외,35.1580141,129.1725905
418,재송주차장,부산광역시 해운대구 재송동 856-1 외,35.1869616,129.1189571
419,글로리아주차장,부산광역시 해운대구 우동 649-5,35.15924,129.1569324
420,방주주차장,부산광역시 해운대구 우동 646-7,35.1603897,129.15594
421,주차장,부산광역시 해운대구 송정동 840,35.168539,129.1970546
422,S-Park 주차장,부산광역시 해운대구 우동 638-6 외,35.1618695,129.1576688
423,송정제일주차장,"부산광역시 해운대구 송정동 323-10,323-13",35.188356,129.2010212
424,해운대해수욕장주차장,부산광역시 해운대구 우동 650-2,35.1587863,129.156487
425,해운대로주차장,부산광역시 해운대구 우동 639-7,35.162183,129.1568336
426,서목주차장,"부산광역시 해운대구 중동 1012-3, 1015-14외",35.1578131,129.1729586
427,송정주차장,"부산광역시 해운대구 송정동 299-8, 299-22",35.1815362,129.2011196
428,향토주차장,"부산광역시 해운대구 우동 441-3,9,10",35.1673537,129.1596247
429,가야중복도로,부산광역시 부산진구 냉정로 223,35.1512477,129.0243266
430,가야공원진입로,부산광역시 부산진구 가야공원로 30-1,35.1507248,129.029757
431,신부산빌딩 앞(소망빌딩),부산광역시 부산진구 자유평화로 3번길 14-21,35.1422276,129.0619071
432,범천동신암로,부산광역시 부산진구 신암로 83,35.1486932,129.0533399
433,경남공고 뒤,부산광역시 부산진구 전포대로 189번길 30,35.1536584,129.0635109
434,주례초등학교,부산광역시 부산진구 진사로61번길 28-7,35.1457956,129.0194669
435,유원오피스텔 뒤,부산광역시 부산진구 서면문화로 29-16,35.1597337,129.0551692
436,가야공원,부산광역시 부산진구 가야공원로 70,35.1472151,129.0298335
437,동부근린공영주차장,부산광역시 기장군 기장읍 차성동로 119,35.2467202,129.2170057
438,기장제1공영주차장,부산광역시 기장군 기장읍 차성동로 70,35.2440534,129.2169537
439,기장 1-3구역노상공영주차장,부산광역시 기장군 기장읍 차성로 288번길,35.2430113,129.2158283
440,정관읍상업지역노상공영주차장,부산광역시 기장군 정관읍 정관8로,35.322819,129.177707
441,기장시장공영주차장,부산광역시 기장군 기장읍 읍내로94번길 9,35.2440194,129.214469
442,군청사부설주차장,부산광역시 기장군 기장읍 기장대로 560,35.2435223,129.2229656
443,신천리공영주차장,부산광역시 기장군 기장읍 신천리 298,35.2432368,129.2237513
444,일광해수욕장노상공영주차장,부산광역시 기장군 기자읍 일역길 78-1,35.2612496,129.2330642
445,뉴공항주차장,부산광역시 강서구 공항진입로 11,35.1807369,128.9563867
446,가가주차장,부산광역시 강서구 공항앞길 9,35.1798853,128.9545323
447,금호주차장,부산광역시 강서구 대저로29번길 58,35.2172643,128.9558846
448,부산주차장,부산광역시 강서구 공항앞길13번길 12,35.1794665,128.9542584
449,광남주차장,부산광역시 강서구 공항진입로 36,35.1817664,128.9541963
450,대항공영 주차장,부산광역시 강서구 가덕해안로 1189-1,35.0120730999999,128.8299781
451,녹산산단공영주차장,부산광역시 강서구 녹산산단262로50번길 53,35.0839735,128.840152
452,발렛주차장,부산광역시 강서구 공항앞길13번길 37,35.1786952,128.9551332
453,차차주차장,부산광역시 강서구 공항앞길13번길 8,35.1797542,128.9541223
454,동원주차장,부산광역시 강서구 공항앞길33번길 12,35.1772686,128.9543077
455,김해주차장,부산광역시 강서구 공항앞길 126,35.1765515,128.9504532
