name,lat,lon,geometry,x_nm,x_dist
낙동강생태탐방선,35.2266865,129.0035081,POINT (129.0035081 35.2266865),삼락재첩거리주변,4029.2
낙동강유채꽃축제,35.2098957,128.9842032,POINT (128.9842032 35.2098957),삼락재첩거리주변,1837.1
낙동강하구,35.1070944,128.9525113,POINT (128.9525113 35.1070944),엄궁외식1번가주변,2536.8
낙동강하구에코센터,35.104497,128.9459942,POINT (128.9459942 35.104497),엄궁외식1번가주변,3114.2
남도해양관광열차 S-트레인(S-train),35.1170576,129.0436878,POINT (129.0436878 35.1170576),왕자빌딩앞,108.1
남선창고터,35.1167718,129.0395023,POINT (129.0395023 35.1167718),차이나타운,221.1
남파랑길,35.1023458,129.1229897,POINT (129.1229897 35.1023458),부산성모병원 주차장,1528.3
내원정사,35.1281432,129.0115557,POINT (129.0115557 35.1281432),수5-1(주거지),1880.1
녹산고향동산,35.1565815,128.8845211,POINT (128.8845211 35.1565815),김해주차장,6404.6
놀이마루,35.1561824,129.063288,POINT (129.063288 35.1561824),경남공고 뒤,280.9
누리마루 APEC하우스,35.1523864,129.1513029,POINT (129.1513029 35.1523864),동백공원공영주차장,300.6
누리바라기전망대,35.0907458,129.0202893,POINT (129.0202893 35.0907458),자갈치 공영주차장,817.6
다대수영장,35.0556365,128.9674986,POINT (128.9674986 35.0556365),남항방파제,6986.1
다대포 꿈의 낙조분수,35.0457857,128.968704,POINT (128.968704 35.0457857),남항방파제,7478.7
다대포항,35.0568174,128.979237,POINT (128.979237 35.0568174),남항방파제,5994.5
다대포해수욕장,35.0469015,128.9662387,POINT (128.9662387 35.0469015),남항방파제,7590.7
다이아몬드베이,35.1295917,129.11584,POINT (129.11584 35.1295917),용호부두 공영주차장,0.0
닥밭골 벽화마을,35.1142737,129.0235466,POINT (129.0235466 35.1142737),대청 공영주차장,757.7
달맞이길,35.1563753,129.1802633,POINT (129.1802633 35.1563753),스카이문주차장,313.2
달맞이동산,35.1624207,129.1782858,POINT (129.1782858 35.1624207),해월정 달맞이길 공영,0.0
당산,35.117236,129.0344454,POINT (129.0344454 35.117236),초2-1(주거지),59.8
대각사,35.1010159,129.0306802,POINT (129.0306802 35.1010159),국제시장로 1구간 공영주차장,238.7
대변마을,35.2247882,129.2303769,POINT (129.2303769 35.2247882),신천리공영주차장,2134.9
대신공원,35.1207576,129.0142609,POINT (129.0142609 35.1207576),수5-1(주거지),1394.7
대연수목전시원,35.1255017,129.0989283,POINT (129.0989283 35.1255017),유엔평화로 153번길,237.7
대저생태공원,35.2048909,128.982775,POINT (128.982775 35.2048909),삼락재첩거리주변,1306.0
대저수문 생태공원,35.229945,128.992266,POINT (128.992266 35.229945),금호주차장,3600.0
대저캠핑장,35.2135357,128.9986046,POINT (128.9986046 35.2135357),삼락재첩거리주변,2518.5
대저토마토축제/강서체육공원,35.209882,128.972345,POINT (128.972345 35.209882),금호주차장,1708.6
대천공원,35.1811394,129.167494,POINT (129.167494 35.1811394),대천공원공영주차장,308.3
대천천,35.2432716,129.0257187,POINT (129.0257187 35.2432716),금강공원공영주차장,5221.6
대항 어촌체험 휴양마을,35.0116687,128.8276787,POINT (128.8276787 35.0116687),대항공영 주차장,214.7
대항선착장,35.0122243,128.8273637,POINT (128.8273637 35.0122243),대항공영 주차장,239.3
대항전망대,35.019448,128.8328216,POINT (128.8328216 35.019448),대항공영 주차장,858.6
더무빙카라반,35.3222464,129.2695705,POINT (129.2695705 35.3222464),임랑해수욕장 주변 행정봉사실 옆,633.2
더베이101,35.1560938,129.1520503,POINT (129.1520503 35.1560938),동백공원공영주차장,119.3
델타루 (에코델타시티 전망대),35.1363089,128.9218285,POINT (128.9218285 35.1363089),위생처리장주변,4235.9
동래 베네스트 골프클럽,35.2651143,129.1006516,POINT (129.1006516 35.2651143),온천천복개도로노상공영주차장,1262.0
동래복천동고분,35.2074338,129.0917907,POINT (129.0917907 35.2074338),사적공원공영주차장,481.8
동래온천(허심청),35.219814,129.0820719,POINT (129.0820719 35.219814),금강공원공영주차장,545.4
동래온천길(온천천 산책코스),35.1915884,129.1024469,POINT (129.1024469 35.1915884),한양아파트 앞 공영주차장,391.3
동래읍성 역사축제,35.2118622,129.0899982,POINT (129.0899982 35.2118622),사적공원공영주차장,144.5
동래읍성지,35.21006,129.0901886,POINT (129.0901886 35.21006),사적공원공영주차장,165.0
동래향교,35.207679,129.0840645,POINT (129.0840645 35.207679),동래시장공영주차장,399.7
동삼동패총전시관,35.0712598,129.0797817,POINT (129.0797817 35.0712598),태종대유원지부설주차장,1069.5
두도,35.0532528,129.0143116,POINT (129.0143116 35.0532528),절영해안산책로앞,3951.1
두송반도,35.0444118,128.9985684,POINT (128.9985684 35.0444118),절영해안산책로앞,5636.6
땅뫼산,35.2455155,129.1174151,POINT (129.1174151 35.2455155),구서동만남의광장공영주차장,2061.8
라라라페스티벌,35.229771,129.089356,POINT (129.089356 35.229771),온천장북측공영주차장,316.0
마린시티,35.1554007,129.146083,POINT (129.146083 35.1554007),동백공원공영주차장,504.7
마하사,35.1636225,129.0875541,POINT (129.0875541 35.1636225),황금로 공영주차장,1022.3
만덕고개 누리길 전망데크,35.2143228,129.0571777,POINT (129.0571777 35.2143228),금강공원공영주차장,2070.9
만들숲,35.1587335,129.063596,POINT (129.063596 35.1587335),경남공고 뒤,563.3
맥도생태공원,35.1498233,128.9558365,POINT (128.9558365 35.1498233),한국강관주변,1577.0
명지동근린공원,35.0867671,128.9042158,POINT (128.9042158 35.0867671),녹산산단공영주차장,5852.5
명지시장전어축제,35.1128079,128.9313292,POINT (128.9313292 35.1128079),엄궁외식1번가주변,3601.1
모노플렉스 오시리아,35.2445494,129.2221542,POINT (129.2221542 35.2445494),군청사부설주차장,135.9
몰운대,35.0387815,128.968995,POINT (128.968995 35.0387815),남항방파제,7942.6
묘관음사,35.3230792,129.2660433,POINT (129.2660433 35.3230792),임랑해수욕장 주변 행정봉사실 옆,501.8
문탠로드,35.1574096,129.1755364,POINT (129.1755364 35.1574096),서목주차장,239.2
물빛색스튜디오,35.2093593,128.9797652,POINT (128.9797652 35.2093593),삼락재첩거리주변,1856.3
뮤지엄 원,35.17369,129.126901,POINT (129.126901 35.17369),센텀Q주차장,435.1
미륵사,35.274003,129.0489825,POINT (129.0489825 35.274003),범어사상마공영주차장,2391.2
미포,35.1592786,129.1699201,POINT (129.1699201 35.1592786),미포주차장,61.0
미포철길,35.1599565,129.1708304,POINT (129.1708304 35.1599565),미포주차장,64.7
민락수변공원,35.1566083,129.1318919,POINT (129.1318919 35.1566083),민락수변공원 공영주차장,206.5
밀락더마켓,35.1546984,129.1260303,POINT (129.1260303 35.1546984),민락매립지 공영주차장,115.3
박태준기념관,35.3165417,129.2614979,POINT (129.2614979 35.3165417),장안읍 임랑리 아름마을,164.4
백산기념관,35.1019607,129.0345836,POINT (129.0345836 35.1019607),부산데파트 뒤 공영주차장,117.2
백양산,35.1832688,129.0264852,POINT (129.0264852 35.1832688),모라중학교 지하(노외),3179.8
백양산 웰빙숲,35.1849064,129.0093018,POINT (129.0093018 35.1849064),모라중학교 지하(노외),1629.9
범어사,35.283955,129.0685428,POINT (129.0685428 35.283955),범어사상마공영주차장,690.9
범어사 성보박물관,35.283955,129.0685428,POINT (129.0685428 35.283955),범어사상마공영주차장,690.9
범어사 템플스테이,35.283955,129.0685428,POINT (129.0685428 35.283955),범어사상마공영주차장,690.9
법륜사,35.2039973,129.0880372,POINT (129.0880372 35.2039973),동래시장공영주차장,186.2
베리굿농장체험,35.3080303,129.1149962,POINT (129.1149962 35.3080303),스포원 주차장(동측),2084.7
벡스코(BEXCO),35.1679229,129.1356974,POINT (129.1356974 35.1679229),센텀Q주차장,672.0
보람공원,35.088318,128.8435819,POINT (128.8435819 35.088318),녹산산단공영주차장,574.8
보수동책방골목문화축제,35.1064758,129.0263952,POINT (129.0263952 35.1064758),대청 공영주차장,317.2
복천박물관,35.2083599,129.0914505,POINT (129.0914505 35.2083599),사적공원공영주차장,380.9
봉래산,35.0819546,129.0552017,POINT (129.0552017 35.0819546),신선스카이웨이,820.3
부산 가톨릭 특성화 거리,35.2448396,129.0978032,POINT (129.0978032 35.2448396),구서동만남의광장공영주차장,368.5
부산 가톨릭센터,35.1042682,129.0285482,POINT (129.0285482 35.1042682),보수 공영주차장,61.5
부산 감천문화마을,35.0978098,129.0092395,POINT (129.0092395 35.0978098),보수복개천 공영주차장,1377.5
부산 강서문화원,35.2122,128.9804979,POINT (128.9804979 35.2122),삼락재첩거리주변,2143.0
부산 부평 족발 골목,35.0991985,129.0264478,POINT (129.0264478 35.0991985),광복로 부평동구간 공영주차장,43.3
부산 송도해상케이블카,35.0762892,129.0234199,POINT (129.0234199 35.0762892),남항방파제,1465.9
부산 스마트시티 전시관,35.1728897,129.1307199,POINT (129.1307199 35.1728897),센텀Q주차장,79.5
부산 아시아드주경기장,35.1896429,129.0569842,POINT (129.0569842 35.1896429),시티타워 뒤 공영주차장,2039.1
부산 영화의 전당,35.1711778,129.1271956,POINT (129.1271956 35.1711778),센텀Q주차장,446.2
