keyword,cluster,same
오륙도,1,싸다 끊임없다 무섭다 알차다 흐드러지다 싫다 귀여우다 멋있다 놀랍다 급하다 인상깊다 노랗다 드넓다 가볍다 앙증맞다 낯설다 외롭다 엄청나다 젊다 힘겹다 어렵다 험하다 아쉬우다 맑다 힘드다 비싸다 빠르다 뿌옇다 쎄다 아깝다 낮다 밝다 가깝다 좁다 덥다 살갑다 환하다 야무지다 약하다 가파르다 수많다 멀다 춥다 알맞다 적다 까다롭다 새롭다 귀엽다 낫다 아름답다 안타깝다 재미있다 멋지다 이쁘다 즐겁다 정신없다 넓디넓다
부산 에덴공원,1,싸다 기쁘다 무섭다 알차다 싫다 고되다 미끄럽다 시끄럽다 이롭다 슬프다 급하다 가볍다 낯설다 씨다 젊다 못지않다 벅차다 느리다 맑다 붉다 비싸다 빡시다 빠르다 과하다 쎄다 낮다 밝다 파랗다 가깝다 얕다 힘차다 덥다 좁다 깊다 정신없다 반갑다 정겹다 수많다 멀다 춥다 적다 귀엽다 조그맣다 뜻깊다 어이없다 쓸데없다 멋지다 이쁘다 즐겁다 우습다
범어사(부산),1,흔하다 싸다 값지다 무섭다 알차다 싫다 멋있다 시끄럽다 놀랍다 곱다 점잖다 노랗다 드넓다 가볍다 엄청나다 젊다 험하다 어렵다 느리다 맑다 붉다 푸르다 비싸다 지겨우다 가까우다 덩그러다 빠르다 세차다 쎄다 어둡다 드세다 낮다 어려우다 밝다 가깝다 거칠다 남다르다 좁다 덥다 동그랗다 빨갛다 깊다 야무지다 반갑다 잽싸다 환하다 멀다 춥다 알맞다 적다 새롭다 수많다 귀엽다 곧다 아름답다 더우다 두껍다 고르다 안타깝다 재미있다 멋지다 이쁘다 푸르르다 즐겁다 정신없다 넓디넓다
태종대,1,싸다 비좁다 무섭다 알차다 싫다 멋있다 놀랍다 무겁다 급하다 드넓다 가볍다 뻔하다 앙증맞다 쨍하다 엄청나다 하얗다 젊다 어렵다 가까우다 짙다 푸르다 맑다 붉다 비싸다 차갑다 힘드다 빠르다 뿌옇다 쎄다 커다랗다 아깝다 거세다 낮다 짓궂다 밝다 가깝다 빡세다 뜨거우다 힘차다 덥다 좁다 동그랗다 야무지다 반갑다 새파랗다 가파르다 멀다 춥다 적다 손쉽다 새롭다 아름답다 누리다 낡다 재미있다 귀엽다 멋지다 이쁘다 즐겁다 우습다
해운대 달맞이길,1,싸다 알차다 싫다 멋있다 곱다 구리다 급하다 단촐하다 가볍다 앙증맞다 낯설다 휑하다 젊다 어렵다 아쉬우다 느리다 맑다 붉다 비싸다 빠르다 세차다 쎄다 아깝다 연하다 낮다 밝다 가깝다 빡세다 거칠다 남다르다 뜨겁다 힘차다 덥다 깊다 빨갛다 반갑다 멀다 춥다 두껍다 아름답다 조그맣다 재미있다 어이없다 귀엽다 이쁘다 재미없다 즐겁다 정신없다
민락수변공원,1,싸다 무섭다 알차다 싫다 귀여우다 멋있다 놀랍다 급하다 가볍다 예뿌다 젊다 어렵다 아쉬우다 더럽다 푸르다 맑다 비싸다 오지다 빠르다 과하다 쎄다 어둡다 밝다 빡세다 좁다 덥다 깊다 야무지다 가파르다 멀다 춥다 알맞다 적다 까다롭다 엄청나다 속상하다 더우다 낡다 재미있다 어이없다 귀엽다 멋지다 이쁘다 즐겁다 정신없다
광복로문화패션거리,1,무섭다 알차다 멋있다 시끄럽다 급하다 가볍다 예뿌다 엄청나다 아쉬우다 느리다 푸르다 붉다 비싸다 묘하다 빠르다 어둡다 낮다 밝다 변함없다 가깝다 그립다 좁다 덥다 깊다 밤늦다 반갑다 약하다 정겹다 수많다 멀다 까맣다 춥다 적다 새롭다 귀엽다 낫다 아름답다 안타깝다 낡다 재미있다 멋지다 이쁘다 후하다 즐겁다 정신없다
허심청,1,기쁘다 무섭다 쩔다 알차다 싫다 멋있다 무겁다 가볍다 엄청나다 젊다 어렵다 가까우다 맑다 차갑다 비싸다 오지다 빠르다 어둡다 낮다 밝다 가깝다 빡세다 뜨겁다 얕다 힘차다 손색없다 좁다 깊다 야무지다 반갑다 약하다 멀다 적다 새롭다 용하다 낫다 고르다 낡다 조그맣다 재미있다 어이없다 귀엽다 멋지다 이쁘다 색다르다 즐겁다
BIFF 광장,1,싸다 끊임없다 습하다 지겹다 알차다 싫다 멋있다 곱다 급하다 즐겁다 드넓다 사이좋다 힘겹다 어렵다 차다 맑다 묘하다 밝다 빡세다 가깝다 뜨겁다 좁다 덥다 반갑다 정겹다 멀다 춥다 알맞다 적다 새롭다 수많다 귀엽다 흔하다 낡다 재미있다 이쁘다 어지럽다
부산다이아몬드타워,1,싸다 무섭다 알차다 싫다 멋있다 두렵다 급하다 낯익다 즐겁다 재미나다 가볍다 낯설다 엄청나다 젊다 실하다 어렵다 영하다 푸르다 맑다 비싸다 빠르다 쎄다 바르다 낮다 어려우다 하찮다 밝다 가깝다 좁다 깊다 야무지다 멀다 춥다 새롭다 안타깝다 낫다 찹다 낡다 재미있다 귀엽다 멋지다 이쁘다 색다르다 어지럽다 정신없다
광안리해변 테마거리,1,무섭다 알차다 싫다 오래다 멋있다 사납다 급하다 가볍다 예뿌다 활기차다 낯설다 젊다 실하다 어렵다 맑다 붉다 비싸다 빠르다 섭하다 밝다 좁다 덥다 깊다 잽싸다 야무지다 반갑다 멀다 춥다 새롭다 아름답다 낫다 뜻깊다 재미있다 귀엽다 멋지다 이쁘다 즐겁다 무겁다
황령산,1,싸다 재빠르다 무섭다 알차다 싫다 귀여우다 오래다 멋있다 추우다 시끄럽다 촌스럽다 급하다 재미나다 가볍다 예뿌다 낯설다 사이좋다 젊다 어렵다 아쉬우다 맑다 붉다 차갑다 힘드다 빠르다 박하다 뿌옇다 어둡다 낮다 어려우다 밝다 파랗다 빡세다 가깝다 좁다 빨갛다 야무지다 정겹다 멀다 적다 흔하다 귀엽다 속상하다 낫다 아름답다 순하다 조그맣다 어이없다 이쁘다 즐겁다 우습다
40계단 문화관광테마거리,1,싸다 비좁다 습하다 무섭다 알차다 싫다 멋있다 놀랍다 슬프다 급하다 인상깊다 가볍다 활기차다 맑디맑다 사이좋다 하얗다 달갑다 어렵다 맑다 붉다 비싸다 힘드다 덩그러다 빠르다 어둡다 낮다 어려우다 심심찮다 밝다 빡세다 가깝다 얕다 좁다 덥다 깊다 야무지다 반갑다 가파르다 멀다 적다 매끄럽다 새롭다 수많다 귀엽다 속상하다 흔하다 낫다 아름답다 낡다 어설프다 뜻깊다 어이없다 재미있다 멋지다 이쁘다 색다르다 무덥다 즐겁다 우습다
부산 암남공원,1,싸다 얄궂다 무섭다 알차다 싫다 멋있다 시끄럽다 드넓다 가볍다 사이좋다 아쉬우다 우렁차다 짙다 맑다 붉다 비싸다 빠르다 쎄다 연하다 아깝다 낮다 짓궂다 밝다 희다 좁다 덥다 깊다 야무지다 반갑다 멀다 춥다 적다 엄청나다 귀엽다 아름답다 찹다 재미있다 어이없다 멋지다 이쁘다 즐겁다
금련산,1,무섭다 알차다 싫다 멋있다 무겁다 재미나다 가볍다 활기차다 하얗다 실하다 어렵다 차다 맑다 비싸다 빠르다 어둡다 낮다 밝다 가깝다 뜨겁다 동그랗다 좁다 덥다 빨갛다 깊다 야무지다 멀다 적다 엄청나다 뜻깊다 귀엽다 이쁘다 즐겁다
청사포,1,무섭다 알차다 싫다 귀여우다 오래다 멋있다 시끄럽다 급하다 가볍다 쨍하다 어렵다 느리다 푸르다 맑다 붉다 비싸다 빠르다 어둡다 아깝다 파랗다 어려우다 밝다 가깝다 동그랗다 좁다 덥다 야무지다 멀다 춥다 적다 새롭다 엄청나다 아름답다 재미있다 귀엽다 멋지다 이쁘다
태종대 전망대,1,싸다 습하다 알차다 싫다 멋있다 시끄럽다 무겁다 드넓다 가볍다 활기차다 젊다 차다 짙다 푸르다 맑다 비싸다 차갑다 힘드다 묘하다 빠르다 쎄다 커다랗다 아깝다 드세다 낮다 어려우다 밝다 파랗다 가깝다 힘차다 덥다 좁다 깊다 잽싸다 환하다 반갑다 가파르다 수많다 멀다 춥다 적다 새롭다 엄청나다 귀엽다 아름답다 누리다 재미있다 멋지다 이쁘다 즐겁다
남선창고터,1,싸다 무섭다 알차다 싫다 멋있다 놀랍다 재미나다 가볍다 엄청나다 사이좋다 하얗다 젊다 못지않다 어렵다 차다 맑다 붉다 드물다 비싸다 빠르다 아깝다 옛스럽다 낮다 밝다 파랗다 가깝다 거칠다 얕다 좁다 깊다 족하다 야무지다 가파르다 정겹다 멀다 알맞다 손쉽다 새롭다 수많다 귀엽다 아름답다 안타깝다 고르다 재미있다 색다르다 멋지다 이쁘다 즐겁다
168계단,1,흔하다 습하다 무섭다 알차다 싫다 걸맞다 고되다 멋있다 급하다 인상깊다 어렵다 느리다 맑다 힘드다 비싸다 빠르다 뿌옇다 가깝다 빡세다 좁다 덥다 야무지다 가파르다 멀다 춥다 적다 까다롭다 새롭다 손쉽다 귀엽다 아름답다 조그맣다 재미있다 어이없다 멋지다 이쁘다 재미없다 무덥다 무겁다
유치환 우체통 전망대,1,습하다 무섭다 틀림없다 눈부시다 알차다 싫다 걸맞다 멋있다 두렵다 가볍다 외롭다 못지않다 힘겹다 어렵다 느리다 맑다 붉다 비싸다 드물다 힘드다 덩그러다 빠르다 낮다 밝다 좁다 덥다 깊다 야무지다 가파르다 수많다 멀다 까맣다 춥다 적다 새롭다 엄청나다 귀엽다 아름답다 더우다 낡다 재미있다 멋지다 이쁘다 서툴다 즐겁다
부산 자갈치 양곱창 골목,1,싸다 알차다 싫다 멋있다 놀랍다 곱다 사납다 급하다 가볍다 예뿌다 활기차다 엄청나다 못지않다 기똥차다 어렵다 느리다 맑다 붉다 비싸다 오지다 과하다 쎄다 드세다 밝다 가깝다 동그랗다 좁다 덥다 야무지다 반갑다 유별나다 수많다 멀다 까맣다 춥다 알맞다 적다 짠하다 새롭다 귀엽다 아름답다 찹다 어설프다 안타깝다 재미있다 어이없다 즐겁다 정신없다
더베이101,1,싸다 습하다 무섭다 알차다 싫다 멋있다 급하다 앙증맞다 엄청나다 아쉬우다 느리다 더럽다 가까우다 드럽다 맑다 붉다 비싸다 빠르다 어둡다 아깝다 파랗다 밝다 가깝다 남다르다 힘차다 덥다 좁다 밤늦다 환하다 야무지다 반갑다 멀다 춥다 적다 아름답다 낫다 재미있다 어이없다 귀엽다 멋지다 이쁘다 즐겁다 우습다
아홉산숲,1,싸다 비좁다 무섭다 알차다 싫다 걸맞다 멋있다 놀랍다 급하다 노랗다 드넓다 가볍다 맑디맑다 휑하다 하얗다 젊다 어렵다 느리다 짙다 푸르다 맑다 붉다 비싸다 빠르다 귀하다 어둡다 아깝다 낮다 어려우다 하찮다 밝다 빡세다 가깝다 좁다 덥다 손색없다 깊다 야무지다 반갑다 가파르다 정겹다 수많다 멀다 춥다 적다 새롭다 곧다 귀엽다 아름답다 엄청나다 더우다 고르다 조그맣다 재미있다 쓸데없다 멋지다 이쁘다 즐겁다 우습다
F1963,1,흔하다 습하다 무섭다 쩔다 알차다 걸맞다 추우다 멋있다 급하다 인상깊다 가볍다 낯설다 젊다 어렵다 아쉬우다 차다 맑다 차갑다 비싸다 빠르다 쎄다 낮다 밝다 가깝다 빡세다 거칠다 뜨겁다 좁다 덥다 깊다 환하다 반갑다 멀다 적다 새롭다 수많다 귀엽다 낫다 아름답다 엄청나다 재미있다 어이없다 멋지다 이쁘다 즐겁다
부산 영화의 전당,1,싸다 알차다 싫다 멋있다 급하다 인상깊다 어렵다 경이롭다 맑다 비싸다 드물다 묘하다 빠르다 파랗다 밝다 좁다 덥다 깊다 부끄럽다 반갑다 수많다 춥다 적다 흔하다 귀엽다 엄청나다 뜻깊다 재미있다 멋지다 이쁘다 즐겁다
키자니아 부산,1,알차다 싫다 사이좋다 인상깊다 낯설다 하얗다 못지않다 가깝다 얕다 친하다 부끄럽다 먹먹하다 춥다 적다 안타깝다 가엾다 고르다 재미있다 뜨겁다 어지럽다 즐겁다 기쁘다 재빠르다 숱하다 오래다 어렵다 아쉬우다 차다 힘드다 낮다 희다 좁다 잽싸다 손색없다 줄기차다 까다롭다 새롭다 아름답다 귀엽다 뜻깊다 색다르다 재미없다 정신없다 흔하다 습하다 무섭다 멋있다 무겁다 급하다 활기차다 엄청나다 씨다 빠르다 아깝다 서럽다 어려우다 덥다 야무지다 이쁘다 싸다 슬프다 가볍다 젊다 맑다 푸르다 비싸다 빡시다 밝다 그립다 동그랗다 깊다 빡세다 멀다 손쉽다 짠하다 수많다 두껍다 낫다 어설프다 멋지다
초량 이바구길,1,예뻤다 습하다 끊임없다 무섭다 알차다 싫다 걸맞다 미끄럽다 멋있다 곱다 수줍다 무덥다 급하다 인상깊다 낯익다 즐겁다 재미나다 가볍다 앙증맞다 낯설다 사이좋다 힘겹다 어렵다 느리다 맑다 붉다 비싸다 힘드다 묘하다 덩그러다 빠르다 낮다 가깝다 좁다 덥다 동그랗다 깊다 환하다 야무지다 부끄럽다 가파르다 정겹다 멀다 알맞다 적다 손쉽다 짠하다 수많다 귀엽다 새롭다 흔하다 낫다 아름답다 두껍다 고르다 재미있다 안타깝다 멋지다 이쁘다 후하다 어지럽다
영도 흰여울해안터널,1,싸다 끊임없다 습하다 무섭다 알차다 싫다 추우다 멋있다 시끄럽다 두렵다 이롭다 문제없다 즐겁다 가볍다 예뿌다 낯설다 젊다 따사롭다 힘겹다 부시다 어렵다 아쉬우다 더럽다 차다 맑다 붉다 비싸다 차갑다 묘하다 빠르다 쎄다 커다랗다 연하다 낮다 이쁘다 밝다 파랗다 가깝다 남다르다 덥다 부끄럽다 야무지다 반갑다 가파르다 멀다 춥다 훤하다 적다 수많다 귀엽다 아름답다 엄청나다 더우다 어설프다 낡다 고르다 멋지다 뜨겁다 푸르르다 어지럽다
장산,1,기쁘다 습하다 무섭다 틀림없다 지겹다 싫다 멋있다 슬프다 가볍다 예뿌다 엄청나다 하얗다 어렵다 아쉬우다 어두다 맑다 붉다 짙다 묘하다 빠르다 섭하다 드세다 낮다 이쁘다 하찮다 밝다 가깝다 거칠다 남다르다 뜨겁다 동그랗다 힘차다 덥다 좁다 깊다 야무지다 친하다 야물딱지다 약하다 가파르다 수많다 멀다 적다 새롭다 귀엽다 아름답다 안타깝다 더우다 순하다 고르다 재미있다 멋지다 흔하다 즐겁다 우습다
마린시티,1,싸다 무섭다 지겹다 알차다 싫다 멋있다 후지다 놀랍다 곱다 촌스럽다 무겁다 슬프다 급하다 낯익다 가볍다 두드러지다 앙증맞다 젊다 못지않다 어렵다 아쉬우다 차다 짙다 맑다 붉다 비싸다 묘하다 빠르다 폭넓다 과하다 세차다 쎄다 어둡다 아깝다 낮다 이쁘다 어려우다 밝다 보드랍다 그립다 가깝다 남다르다 동그랗다 덥다 깊다 야무지다 반갑다 정겹다 수많다 멀다 까맣다 춥다 알맞다 적다 새롭다 엄청나다 귀엽다 속상하다 아름답다 재미있다 색다르다 멋지다 뜨겁다 즐겁다 우습다
북맛골,1,싸다 무섭다 싫다 특출나다 놀랍다 곱다 슬프다 드넓다 가볍다 앙증맞다 사이좋다 젊다 어렵다 붉다 차갑다 비싸다 힘드다 빠르다 과하다 연하다 낮다 밝다 가깝다 좁다 덥다 깊다 환하다 부끄럽다 반갑다 정겹다 멀다 춥다 적다 새롭다 수많다 귀엽다 낫다 찹다 뛰어나다 흔하다 무겁다
장안사계곡,1,싸다 비좁다 습하다 재빠르다 무섭다 알차다 싫다 오래다 멋있다 놀랍다 무겁다 문제없다 급하다 가볍다 앙증맞다 낯설다 젊다 어렵다 느리다 차다 짙다 푸르다 맑다 비싸다 차갑다 해맑다 빠르다 귀하다 쎄다 커다랗다 아깝다 연하다 낮다 이쁘다 밝다 가깝다 그립다 거칠다 얕다 좁다 덥다 깊다 환하다 반갑다 가파르다 수많다 멀다 까맣다 춥다 알맞다 적다 새롭다 엄청나다 귀엽다 낫다 아름답다 새까맣다 순하다 뜻깊다 재미있다 멋지다 뜨겁다 즐겁다 정신없다
