keyword,adj_unique
SEA LIFE 부산아쿠아리움, 맛없다 아쉬우다 힘들다 있다 못지않다 무섭다 날래다 어둡다 쌔다 빠르다 안쓰럽다 없다 춥다 급하다 귀엽다 매섭다 아쉽다 날카롭다 바르다 같다 예쁘다 그렇다 앙칼지다 상관없다 아름답다 알차다 지나치다 그립다 멋있다 앙증맞다 야무지다 작다 징그럽다 이렇다 다 크다 넓다 맛있다 수많다 반갑다 촌스럽다 높다 싫다 많다 엄청나다 쉽다 멀다 감쪽같다 강하다 얕다 진하다 귀찮다 늦다 기차다 알맞다 정신없다 뛰어나다 아프다 애꿎다 사이좋다 옳다 밝다 뜨겁다 나쁘다 즐겁다 틀리다 르다 적다 얇다 깊다 재미있다 저렇다 어지럽다 하찮다 멋지다 고맙다 길다 사납다 재빠르다 짧다 바쁘다 어렵다 차갑다 귀여우다 부드럽다 편하다 활기차다 싸다 괜찮다 굵다 좁다 재미없다 무지하다 맵다 슬프다 좋다 세다 새롭다 붉다 검다 비싸다 부끄러우다 지겹다 맛나다 재밌다 이쁘다 어떻다 느리다 
UN평화축제, 힘들다 맑다 편하다 동그랗다 작다 있다 덥다 괜찮다 다 밝다 빼어나다 없다 크다 춥다 귀엽다 넓다 급하다 맛있다 나쁘다 아쉽다 좋다 세다 새롭다 즐겁다 르다 반갑다 높다 같다 예쁘다 깊다 재미있다 저렇다 문제없다 잽싸다 드물다 많다 젊다 엄청나다 길다 쉽다 멀다 재밌다 짧다 바쁘다 얕다 번거로우다 뿌옇다 늦다 
[부산 갈맷길 2코스] 2구간 민락교~오륙도, 훤하다 무덥다 힘들다 눈부시다 있다 부럽다 간데없다 무섭다 빠르다 쨍하다 없다 춥다 급하다 가볍다 매섭다 아쉽다 같다 예쁘다 그렇다 상관없다 아름답다 예뻤다 지나치다 그립다 멋있다 고르다 버겁다 야무지다 드넓다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 아깝다 반갑다 높다 싫다 많다 엄청나다 쉽다 멀다 얕다 빡세다 낡다 뿌옇다 늦다 맑다 낮다 흐리다 아프다 과하다 뜨겁다 르다 즐겁다 적다 좁다랗다 깊다 나다 재미있다 저렇다 드물다 젊다 고맙다 멋지다 귀하다 길다 재빠르다 짧다 어렵다 차갑다 굳다 어김없다 둥글다 편하다 갓다 덥다 괜찮다 가깝다 좁다 좋다 새롭다 붉다 약하다 비싸다 기막히다 끊임없다 파랗다 재밌다 힘차다 이쁘다 어떻다 
café de 220VOLT, 족하다 흔하다 맛없다 뜨다 힘들다 부드럽다 맑다 편하다 옥다 작다 비리다 있다 싸다 괜찮다 어둡다 희다 다 쨍하다 뜨겁다 없다 크다 에리다 넓다 짝다 맛있다 나쁘다 찹다 맵다 세다 좋다 쌀쌀맞다 르다 반갑다 높다 굳세다 적다 겉다 조다 같다 예쁘다 나다 낡다 그렇다 곱다 싫다 무겁다 검다 따숩다 밸라다 많다 젊다 웁다 곱디곱다 멋지다 세차다 길다 쉽다 멀다 고르다 맛나다 재밌다 이쁘다 짙다 어렵다 알맞다 어처구니없다 
가덕도, 맛없다 안타깝다 아쉬우다 덜하다 힘들다 무덥다 저리다 눈부시다 비리다 인상깊다 있다 부럽다 못지않다 무섭다 어둡다 빠르다 조그맣다 어리다 쎄다 없다 춥다 급하다 귀엽다 가볍다 번거럽다 갑작스럽다 힘드다 아쉽다 추우다 머다 흐드러지다 차지다 심심찮다 손색없다 같다 그렇다 예쁘다 해맑다 상관없다 알차다 착하다 거하다 아름답다 문제없다 설다 묽다 지나치다 예뻤다 하얗다 시리다 그립다 거세다 멋있다 놀랍다 고르다 앙증맞다 아푸다 찐하다 정겹다 부드러우다 습하다 야무지다 별하다 힘겹다 기다랗다 흔하다 간드러지다 아리다 드넓다 번거롭다 작다 이렇다 징그럽다 희다 다 낫다 그리우다 부끄럽다 크다 성싶다 고프다 넓다 맛있다 존다 보드랍다 수많다 아깝다 단촐하다 반갑다 높다 잦다 미끄럽다 기쁘다 겉다 성하다 촌스럽다 까맣다 걸맞다 격하다 싫다 더우다 둥그렇다 따숩다 많다 엄청나다 스럽다 세차다 쉽다 시끄럽다 멀다 얄밉다 강하다 파라다 틀림없다 얕다 변함없다 두꺼우다 짠하다 진하다 귀찮다 빡세다 낡다 늦다 널럴하다 웂다 뿌옇다 소용없다 맑다 낮다 정신없다 좁디좁다 흐리다 아프다 미끄러우다 심하다 즐거다 유례없다 과하다 사이좋다 흥겹다 옳다 짓궂다 뜨겁다 밝다 밉다 나쁘다 겹다 쩔다 어이없다 잘다 어떠다 낯설다 르다 즐겁다 업다 뜻깊다 남다르다 적다 얇다 비좁다 시커멓다 싱그럽다 깊다 괴롭다 나다 재미있다 박하다 없다다 조다 무겁다 저렇다 드물다 어지럽다 젊다 웁다 궂다 고맙다 멋지다 귀하다 름없다 길다 서투다 따시다 낯익다 빨갛다 외롭다 재빠르다 짧다 바쁘다 어렵다 차다 차갑다 해로우다 굳다 쓸모있다 얼큰하다 우연찮다 어두우다 귀여우다 뜨다 뜬금없다 부드럽다 찡하다 경이롭다 편하다 가까우다 갓다 드세다 어딨다 덥다 싸다 가파르다 괜찮다 굵다 게으르다 배부르다 따갑다 고풍스럽다 가깝다 뽀얗다 어떻다 좁다 대차다 재미없다 섭하다 만다 거칠다 어려우다 순하다 좋다 험하다 새롭다 세다 붉다 슬프다 맵다 이채롭다 구다 연하다 환하다 쓸모없다 곱다 시다 배고프다 검다 푸르다 읎다 약하다 더리다 비싸다 기막히다 예뿌다 뒤늦다 부끄러우다 똑같다 파랗다 맛나다 깜다 재밌다 힘차다 이쁘다 지겹다 노랗다 짙다 넓디넓다 밤늦다 수줍다 알맞다 느리다 
가덕도 등대, 맛없다 힘들다 있다 무섭다 빠르다 어리다 쎄다 없다 급하다 가볍다 귀엽다 아쉽다 같다 예쁘다 그렇다 알차다 아름답다 문제없다 지나치다 거세다 놀랍다 힘겹다 아리다 간드러지다 드넓다 작다 이렇다 징그럽다 다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 기쁘다 싫다 둥그렇다 많다 쉽다 시끄럽다 귀찮다 낡다 늦다 맑다 낮다 과하다 잘다 뜻깊다 르다 즐겁다 적다 깊다 고맙다 멋지다 귀하다 길다 빨갛다 짧다 바쁘다 어렵다 부드럽다 편하다 게으르다 괜찮다 굵다 가깝다 좁다 어려우다 좋다 세다 붉다 환하다 맛나다 깜다 재밌다 이쁘다 수줍다 
가덕도 연대봉, 안타깝다 힘들다 눈부시다 있다 못지않다 무섭다 어둡다 빠르다 어리다 춥다 없다 급하다 가볍다 귀엽다 아쉽다 같다 그렇다 예쁘다 상관없다 아름답다 알차다 지나치다 멋있다 놀랍다 야무지다 작다 이렇다 다 크다 넓다 맛있다 수많다 반갑다 높다 까맣다 싫다 둥그렇다 많다 엄청나다 쉽다 시끄럽다 멀다 얕다 귀찮다 늦다 맑다 낮다 아프다 심하다 밝다 나쁘다 쩔다 르다 조다 깊다 나다 재미있다 웁다 멋지다 귀하다 길다 짧다 바쁘다 어렵다 차갑다 경이롭다 편하다 덥다 게으르다 싸다 굵다 괜찮다 따갑다 가깝다 좁다 좋다 붉다 이채롭다 푸르다 약하다 비싸다 재밌다 이쁘다 노랗다 짙다 수줍다 알맞다 
가덕도대항인공동굴, 아쉬우다 안타깝다 힘들다 눈부시다 인상깊다 있다 못지않다 무섭다 어둡다 두껍다 빠르다 어리다 없다 춥다 급하다 귀엽다 가볍다 힘드다 아쉽다 흐드러지다 같다 예쁘다 그렇다 해맑다 머지않다 더디다 아름답다 알차다 착하다 묽다 지나치다 시리다 그립다 멋있다 고르다 속상하다 아푸다 찐하다 매끄럽다 정겹다 습하다 야무지다 힘겹다 안녕하다 드넓다 작다 이렇다 징그럽다 희다 다 낫다 부끄럽다 크다 고프다 넓다 무르다 맛있다 존다 친하다 수많다 아깝다 반갑다 높다 잦다 미끄럽다 달갑다 겉다 까맣다 싫다 동떨어지다 따숩다 둥그렇다 많다 엄청나다 쉽다 시끄럽다 멀다 틀림없다 얕다 변함없다 짠하다 귀찮다 죠다 낡다 늦다 널럴하다 아름다우다 맑다 낮다 뛰어나다 동그랗다 흐리다 아프다 더럽다 심하다 옳다 밝다 나쁘다 어이없다 쩔다 낯설다 르다 뜻깊다 즐겁다 적다 조다 깊다 괴롭다 나다 재미있다 박하다 무겁다 저렇다 드물다 어지럽다 젊다 따시다 멋지다 귀하다 고맙다 길다 짙푸르다 짧다 바쁘다 어렵다 굳다 차갑다 어두우다 밭다 부드럽다 둥글다 편하다 덥다 가파르다 싸다 굵다 괜찮다 따갑다 가깝다 고되다 뽀얗다 서툴다 좁다 묘하다 뜨거우다 슬프다 맵다 좋다 세다 새롭다 험하다 붉다 이채롭다 굳세다 연하다 환하다 짜다 푸르다 비싸다 기막히다 똑같다 자그맣다 파랗다 맛나다 재밌다 힘차다 이쁘다 두텁다 짙다 어떻다 느리다 
가덕해양파크휴게소, 부여다 커다랗다 아쉬우다 안타깝다 힘들다 눈부시다 비리다 있다 부럽다 못지않다 무섭다 누렇다 어둡다 빠르다 힘없다 어리다 없다 춥다 급하다 가볍다 귀엽다 힘드다 아쉽다 추우다 머다 누리다 흐드러지다 색다르다 손색없다 미우다 같다 그렇다 예쁘다 머지않다 상관없다 아름답다 착하다 알차다 싱겁다 설다 잽싸다 지나치다 하얗다 시리다 그립다 멋있다 놀랍다 곧다 정겹다 습하다 야무지다 힘겹다 흔하다 드넓다 발갛다 작다 이렇다 징그럽다 실하다 다 낫다 크다 고프다 넓다 맛있다 친하다 수많다 무디다 아깝다 반갑다 높다 잦다 겉다 재미나다 걸맞다 싫다 요렇다 둥그렇다 많다 엄청나다 스럽다 세차다 쉽다 시끄럽다 멀다 용하다 강하다 파라다 틀림없다 얕다 짠하다 진하다 귀찮다 죠다 빡세다 늦다 낡다 뿌옇다 시답다 아름다우다 맑다 낮다 동그랗다 흐리다 아프다 심하다 의좋다 뜨겁다 밉다 밝다 나쁘다 어이없다 쩔다 구지다 새까맣다 잘다 르다 즐겁다 뜻깊다 업다 덩그러다 적다 얇다 비좁다 조다 깊다 까다롭다 나다 재미있다 두렵다 무겁다 저렇다 드물다 젊다 웁다 고맙다 멋지다 귀하다 습지다 길다 름없다 외지다 빡시다 빨갛다 짧다 바쁘다 어렵다 차갑다 차다 굳다 밭다 귀여우다 역하다 부드럽다 편하다 가까우다 옥다 갓다 활기차다 덥다 싸다 가파르다 괜찮다 게으르다 배부르다 굵다 그르다 따갑다 가깝다 뽀얗다 어떻다 좁다 재미없다 묘하다 오지다 대차다 섭하다 만다 찹다 슬프다 맵다 좋다 세다 새롭다 씨다 붉다 어려우다 구다 연하다 어리석다 환하다 곱다 검다 푸르다 읎다 약하다 비싸다 심상찮다 뒤늦다 예뿌다 끊임없다 똑같다 지겹다 맛나다 재밌다 힘차다 이쁘다 두텁다 짙다 너그럽다 까지다 수줍다 알맞다 느리다 
가야공원 / 가야산책공원, 맛없다 훤하다 힘들다 빠르다 안쓰럽다 조그맣다 쎄다 춥다 매섭다 귀엽다 힘드다 관계없다 아쉽다 갑작스럽다 이롭다 차지다 심심찮다 같다 그렇다 상관없다 허물없다 부시다 거침없다 거세다 속상하다 정겹다 부드러우다 습하다 야무지다 별하다 힘겹다 드넓다 헛되다 달큰하다 쑥쓰럽다 고프다 존다 무디다 달갑다 기쁘다 삐뚫다 많다 쎼다 귀찮다 죠다 맑다 낮다 얄궂다 더럽다 여깄다 과하다 오래다 옳다 짓궂다 끄떡없다 기름지다 얇다 비좁다 조다 깊다 싱그럽다 두렵다 저렇다 드물다 고맙다 하찮다 습지다 낯익다 사납다 재빠르다 짧다 쪼끄맣다 굳다 뜬금없다 둥글다 편하다 생뚱맞다 덥다 가파르다 싸다 굵다 감질나다 뽀얗다 어려우다 슬프다 올바르다 시다 검다 배고프다 약다 기막히다 노랗다 당차다 커다랗다 있다 누렇다 끈질기다 유별나다 없다 가볍다 바르다 흐드러지다 손색없다 알차다 문제없다 묽다 멋있다 곧다 기다랗다 흔하다 이렇다 부끄럽다 맛있다 친하다 보드랍다 아깝다 높다 아까우다 겉다 까맣다 싫다 따숩다 엄청나다 뻔하다 가물다 숨차다 볼품없다 빡세다 낡다 정신없다 동그랗다 야하다 잘다 어떠다 즐겁다 틀리다 무서우다 나다 름없다 외지다 빨갛다 외롭다 바쁘다 귀여우다 언덕지다 게으르다 가깝다 오지다 뜨거우다 찹다 험하다 새롭다 붉다 연하다 쓸모없다 곱다 기운차다 뒤늦다 끝없다 부끄러우다 똑같다 파랗다 재밌다 힘차다 이쁘다 쿰쿰하다 숱하다 수줍다 알맞다 어처구니없다 아쉬우다 무덥다 안타깝다 비리다 못지않다 무섭다 어둡다 쨍하다 어여쁘다 가느다 너르다 간지럽다 급하다 에리다 손쉽다 추우다 색다르다 더디다 머지않다 착하다 싱겁다 뜻있다 하얗다 놀랍다 호되다 앙증맞다 버겁다 매끄럽다 작다 다 크다 드럽다 잦다 더우다 스럽다 시뻘겋다 세차다 쉽다 멀다 강하다 얕다 변함없다 뿌옇다 흐리다 아프다 즐거다 해롭다 심하다 싸납다 밝다 뜨겁다 옅다 자리다 나쁘다 어이없다 쩔다 낯설다 칩다 뜻깊다 질기다 놉다 재미있다 슴슴하다 어지럽다 젊다 만만찮다 멋지다 귀하다 어렵다 차갑다 우연찮다 족하다 밭다 바뿌다 부드럽다 옥다 갓다 활기차다 어딨다 덧없다 어럽다 그지없다 고되다 민하다 좁다 재미없다 무지하다 거칠다 좋다 목마르다 따스다 서럽다 샛노랗다 약하다 비싸다 어설프다 예뿌다 자그맣다 지겹다 값싸다 느리다 덜하다 저리다 눈부시다 인상깊다 간데없다 부럽다 두껍다 어리다 맑디맑다 해맑다 예쁘다 아름답다 설다 잽싸다 예뻤다 지나치다 그립다 고르다 새파랗다 안녕하다 징그럽다 높다랗다 실하다 두드러지다 희다 낫다 넓다 수많다 정답다 반갑다 촌스럽다 재미나다 걸맞다 둔하다 시끄럽다 틀림없다 길다랗다 영하다 짠하다 진하다 늦다 시답다 아름다우다 뛰어나다 빠삭하다 가득차다 휑하다 흥겹다 르다 남다르다 덩그러다 적다 까다롭다 박하다 무겁다 길다 차다 해묵다 가까우다 배부르다 괜찮다 따갑다 서툴다 대차다 줄기차다 묘하다 섭하다 푸르르다 맵다 순하다 세다 예스럽다 굳세다 환하다 굴뚝같다 철없다 아무렇다 푸르다 그릏다 맛나다 싶다 짙다 넓디넓다 멋들어지다 어떻다 
