keyword,adj_unique
대변마을, 맛없다 훤하다 힘들다 비리다 있다 부럽다 못지않다 어둡다 빠르다 없다 춥다 급하다 가볍다 귀엽다 힘드다 아쉽다 머다 색다르다 같다 그렇다 예쁘다 상관없다 아름답다 알차다 묽다 하얗다 그립다 멋있다 놀랍다 고르다 야무지다 흔하다 드넓다 희망차다 작다 이렇다 실하다 다 낫다 별스럽다 크다 고프다 넓다 맛있다 친하다 수많다 아깝다 반갑다 높다 재미나다 싫다 더우다 많다 엄청나다 쉽다 시끄럽다 멀다 구리다 진하다 귀찮다 죠다 낡다 늦다 시답다 맑다 낮다 정신없다 좁디좁다 동그랗다 흐리다 아프다 심하다 오래다 밝다 뜨겁다 나쁘다 어이없다 낯설다 르다 즐겁다 뜻깊다 적다 얇다 조다 깊다 재미있다 무겁다 저렇다 젊다 고맙다 멋지다 하찮다 길다 외롭다 짧다 바쁘다 어렵다 굳다 어두우다 부드럽다 편하다 활기차다 드세다 어딨다 덥다 싸다 배부르다 괜찮다 따갑다 가깝다 뽀얗다 좁다 묘하다 섭하다 맵다 슬프다 좋다 세다 새롭다 붉다 환하다 넓다랗다 뜨시다 검다 비싸다 뒤늦다 예뿌다 똑같다 자그맣다 지겹다 파랗다 재밌다 힘차다 이쁘다 짙다 멋들어지다 수줍다 어떻다 
대신공원, 천하다 맛없다 훤하다 힘들다 빠르다 안쓰럽다 조그맣다 쎄다 춥다 매섭다 귀엽다 힘드다 갑작스럽다 아쉽다 익다 어림없다 이롭다 심심찮다 같다 그렇다 상관없다 대수롭다 거하다 거침없다 부시다 거세다 속상하다 특출나다 정겹다 부드러우다 습하다 야무지다 힘겹다 드넓다 값지다 달큰하다 고프다 존다 야물딱지다 미끄럽다 기쁘다 어두다 많다 얄밉다 감쪽같다 우중충하다 파라다 귀찮다 죠다 소용없다 맑다 낮다 찰지다 얄궂다 더럽다 여깄다 이릏다 과하다 오래다 옳다 폭넓다 낄다 역겹다 기름지다 업다 얇다 비좁다 따사롭다 싱그럽다 깊다 조다 괴롭다 두렵다 발다 저렇다 슬푸다 드물다 고맙다 하찮다 낯익다 사납다 재빠르다 짧다 척하다 굳다 얼큰하다 뻔질나다 역하다 뜬금없다 푸지다 둥글다 편하다 드세다 덥다 가파르다 싸다 굵다 억세다 감질나다 뽀얗다 멋적다 어려우다 슬프다 시다 고파다 검다 배고프다 기막히다 어마다 감명깊다 노랗다 땡그랗다 커다랗다 미심쩍다 있다 누렇다 없다 가볍다 머다 바르다 흐드러지다 손색없다 알차다 드높다 묽다 되다 시리다 곧다 멋있다 실없다 찐하다 기다랗다 흔하다 이렇다 냉하다 부끄럽다 맛있다 친하다 보드랍다 우습다 아깝다 단촐하다 높다 아까우다 쪼그맣다 겉다 까맣다 싫다 따숩다 엄청나다 뻔하다 구리다 용하다 옴팡지다 비뚤다 나뿌다 빡세다 낡다 기차다 웃다 정신없다 동그랗다 사이좋다 가없다 야하다 잘다 어떠다 즐겁다 틀리다 무서우다 시덥잖다 나다 웁다 눅다 름없다 외지다 노오랗다 벌겋다 새하얗다 빨갛다 빡시다 외롭다 외다 바쁘다 도지다 쓰리다 어두우다 귀여우다 멋없다 냅다 게으르다 가깝다 오지다 뜨거우다 씨다 찹다 험하다 새롭다 붉다 구다 연하다 짜다 곱다 읎다 뒤늦다 끝없다 부끄러우다 똑같다 파랗다 재밌다 힘차다 이쁘다 살갑다 고렇다 검붉다 수줍다 알맞다 아쉬우다 안타깝다 무덥다 비리다 못지않다 무섭다 어둡다 쌔다 쨍하다 하릴없다 빼어나다 급하다 손쉽다 새빨갛다 추우다 색다르다 머지않다 착하다 싱겁다 하얗다 놀랍다 앙증맞다 아푸다 아리다 작다 차겁다 다 그리우다 크다 지대다 익살맞다 드럽다 잦다 아파다 요상하다 메스껍다 요렇다 더우다 스럽다 시뻘겋다 세차다 쉽다 깜찍하다 멀다 강하다 얕다 변함없다 뿌옇다 두려우다 흐리다 청승맞다 아프다 심하다 즐거다 온데간데없다 뜨겁다 밝다 밉다 옅다 지겨우다 나쁘다 어이없다 쩔다 낯설다 뜻깊다 벅차다 질기다 놉다 재미있다 슴슴하다 그럴싸하다 어지럽다 젊다 궂다 만만찮다 따시다 멋지다 귀하다 성가시다 어렵다 차갑다 쓸모있다 우연찮다 족하다 넒다 시끄러우다 뜨다 쓸데없다 부드럽다 찡하다 갓다 활기차다 기다 어딨다 덧없다 그지없다 고되다 민하다 좁다 재미없다 무지하다 언짢다 거칠다 좋다 졸리다 빡빡하다 주옥같다 따스다 우하다 서럽다 약하다 비싸다 어설프다 예뿌다 자그맣다 지겹다 깜다 기똥차다 밤늦다 까지다 값싸다 고마우다 느리다 덜하다 저리다 눈부시다 인상깊다 부럽다 걷다 두껍다 독하다 어리다 재다 구찮다 맑디맑다 해맑다 예쁘다 승하다 아름답다 잽싸다 동그라다 지나치다 예뻤다 그립다 고르다 얄짤없다 남부럽다 시퍼렇다 안녕하다 탁하다 번거롭다 실하다 징그럽다 희다 낫다 멋쩍다 넓다 수많다 정답다 반갑다 촌스럽다 재미나다 걸맞다 쬐그맣다 가쁘다 시끄럽다 글다 틀림없다 짠하다 진하다 늦다 아름다우다 뛰어나다 좁디좁다 휑하다 없잖다 애꿎다 가늘다 후하다 가렵다 르다 남다르다 덩그러다 적다 까다롭다 박하다 무겁다 염하다 길다 어떻하다 차다 더러우다 가까우다 헐벗다 배부르다 괜찮다 혹하다 따갑다 서툴다 기나길다 대차다 묘하다 섭하다 푸르르다 시원찮다 짝다 맵다 순하다 세다 부러우다 굳세다 어리석다 환하다 넓다랗다 철없다 아무렇다 푸르다 그릏다 지긋지긋하다 끊임없다 맛나다 싶다 짙다 재수없다 넓디넓다 어떻다 
대연수목전시원, 힘들다 맑다 편하다 작다 있다 이렇다 못지않다 덥다 싸다 괜찮다 어둡다 가깝다 없다 크다 춥다 가볍다 넓다 귀엽다 맛있다 아쉽다 좋다 붉다 높다 환하다 그렇다 같다 예쁘다 까다롭다 곱다 아름답다 많다 멋지다 길다 쉽다 빨갛다 멀다 외롭다 재밌다 이쁘다 짧다 어렵다 늦다 
대저생태공원, 마땅찮다 커다랗다 안타깝다 덜하다 쫀쫀하다 힘들다 맛없다 아쉬우다 훤하다 저리다 눈부시다 인상깊다 비리다 있다 부럽다 못지않다 무섭다 버얼겋다 누렇다 어둡다 끈질기다 두껍다 쨍하다 빠르다 쌔다 조그맣다 유별나다 어여쁘다 어리다 쎄다 가느다 너르다 없다 춥다 급하다 귀엽다 가볍다 매섭다 간지럽다 손쉽다 힘드다 갑작스럽다 아쉽다 머다 바르다 흐드러지다 색다르다 구찮다 손색없다 그렇다 같다 예쁘다 해맑다 상관없다 날쌔다 더디다 알차다 아름답다 드높다 착하다 인정사정없다 문제없다 잽싸다 예뻤다 지나치다 묽다 하얗다 시리다 부시다 그립다 거세다 멋있다 곧다 놀랍다 속상하다 고르다 앙증맞다 찐하다 정겹다 습하다 야무지다 힘겹다 흔하다 안녕하다 드넓다 개구지다 번거롭다 작다 이렇다 징그럽다 실하다 두드러지다 앙하다 희다 다 쑥쓰럽다 낫다 물씬하다 부끄럽다 크다 고프다 넓다 무르다 맛있다 존다 수많다 아깝다 반갑다 촌스럽다 높다 아까우다 기쁘다 잦다 겉다 쪼그맣다 재미나다 까맣다 걸맞다 싫다 요렇다 더우다 따숩다 많다 엄청나다 스럽다 세차다 쉽다 시끄럽다 멀다 구리다 파아랗다 강하다 꺼멓다 틀림없다 길다랗다 얕다 영하다 진하다 귀찮다 죠다 볼품없다 늦다 빡세다 뿌옇다 소용없다 맑다 알맞다 낮다 정신없다 뛰어나다 동그랗다 흐리다 아프다 더럽다 여깄다 휑하다 심하다 이릏다 즐거다 과하다 가늘다 오래다 깜다 옳다 가렵다 밝다 뜨겁다 옅다 지겨우다 나쁘다 어이없다 쩔다 낯설다 어떠다 잘다 기름지다 르다 즐겁다 뜻깊다 틀리다 덩그러다 적다 얇다 시커멓다 질기다 조다 깊다 놉다 괴롭다 재미있다 싱그럽다 박하다 따사롭다 머얼다 발다 무겁다 저렇다 드물다 그럴싸하다 궂다 젊다 만만찮다 고맙다 멋지다 귀하다 습지다 길다 름없다 우렁차다 노오랗다 하찮다 빨갛다 어떻하다 나즈막하다 벌겋다 짧다 바쁘다 어렵다 쪼끄맣다 굳다 차다 차갑다 무시다 우연찮다 밭다 넒다 귀여우다 까슬하다 뜨다 더러우다 뜬금없다 부드럽다 찡하다 경이롭다 편하다 가까우다 갓다 기다 드세다 어딨다 덥다 배부르다 싸다 괜찮다 굵다 억세다 따갑다 게으르다 가파르다 가깝다 서툴다 형편없다 좁다 재미없다 묘하다 후덥다 오지다 무지하다 섭하다 쉬우다 짝다 어려우다 찹다 슬프다 만다 좋다 세다 새롭다 맵다 붉다 뻘겋다 험하다 목마르다 연하다 환하다 무거우다 곱다 아무렇다 검다 샛노랗다 배고프다 푸르다 약하다 비싸다 예뿌다 뒤늦다 머지않다 똑같다 지겹다 맛나다 서글프다 재밌다 파랗다 이쁘다 힘차다 노랗다 짙다 넓디넓다 밤늦다 멀겋다 싶다 수줍다 어떻다 느리다 
대저수문 생태공원, 맛없다 힘들다 빠르다 적잖다 때늦다 조그맣다 쎄다 춥다 매섭다 귀엽다 힘드다 갑작스럽다 아쉽다 심심찮다 그렇다 같다 상관없다 거하다 부시다 거세다 특출나다 정겹다 습하다 야무지다 힘겹다 드넓다 앙하다 고프다 존다 야물딱지다 기쁘다 많다 얄밉다 귀찮다 죠다 비다 맑다 낮다 찰지다 얄궂다 더럽다 여깄다 과하다 오래다 옳다 기름지다 얇다 비좁다 시커멓다 조다 깊다 괴롭다 싱그럽다 발다 저렇다 드물다 고맙다 하찮다 습지다 사납다 재빠르다 짧다 굳다 까슬하다 뜬금없다 둥글다 편하다 생뚱맞다 덥다 싸다 가파르다 굵다 억세다 어려우다 슬프다 이채롭다 수집다 시다 검다 배고프다 어마다 고리다 노랗다 개르다 당차다 모자라다 커다랗다 있다 누렇다 끈질기다 유별나다 없다 가볍다 바르다 흐드러지다 손색없다 알차다 드높다 문제없다 당당다 묽다 시리다 케케묵다 멋있다 곧다 찐하다 흔하다 이렇다 부끄럽다 맛있다 친하다 아깝다 높다 아까우다 겉다 까맣다 싫다 엄청나다 용하다 구리다 옴팡지다 볼품없다 빡세다 낡다 정신없다 동그랗다 사이좋다 겹다 잘다 어떠다 즐겁다 틀리다 시덥잖다 나다 낯간지럽다 웁다 름없다 외지다 노오랗다 벌겋다 빨갛다 빡시다 외롭다 바쁘다 쓰리다 귀여우다 경이롭다 가깝다 오지다 뜨거우다 쉬우다 씨다 찹다 험하다 새롭다 붉다 쓸모없다 곱다 뒤늦다 부끄러우다 똑같다 파랗다 햐얗다 재밌다 힘차다 이쁘다 수줍다 알맞다 쫀쫀하다 안타깝다 아쉬우다 무덥다 비리다 못지않다 무섭다 가느다랗다 어둡다 쨍하다 빼어나다 너르다 간지럽다 급하다 손쉽다 새빨갛다 추우다 누리다 색다르다 가벼웁다 머지않다 착하다 하얗다 놀랍다 앙증맞다 매끄럽다 특별나다 작다 느껍다 다 크다 지대다 무르다 드럽다 잦다 격하다 더우다 세차다 터무니없다 쉽다 멀다 강하다 얕다 변함없다 퍼렇다 뿌옇다 두려우다 흐리다 아프다 심하다 뜨겁다 밝다 밉다 옅다 지겨우다 나쁘다 어이없다 쩔다 구지다 낯설다 칩다 뜻깊다 질기다 재미있다 없다다 그럴싸하다 궂다 젊다 어지럽다 만만찮다 귀하다 멋지다 아낌없다 어렵다 차갑다 쓸모있다 우연찮다 밭다 넒다 능하다 배다 뜨다 부드럽다 갓다 활기차다 어딨다 고되다 좁다 재미없다 무지하다 거칠다 좋다 샛노랗다 서럽다 약하다 비싸다 어설프다 예뿌다 지겹다 멀겋다 밤늦다 느리다 마땅찮다 덜하다 저리다 눈부시다 인상깊다 부럽다 버얼겋다 두껍다 어리다 능글맞다 구찮다 해맑다 예쁘다 아름답다 설다 예뻤다 지나치다 그립다 고르다 갈데없다 안녕하다 개구지다 번거롭다 실하다 높다랗다 희다 낫다 넓다 흉하다 수많다 궁하다 반갑다 촌스럽다 재미나다 걸맞다 시끄럽다 글다 틀림없다 길다랗다 짠하다 진하다 늦다 시답다 아름다우다 뛰어나다 휑하다 흥겹다 의좋다 가늘다 후하다 가렵다 르다 남다르다 적다 까다롭다 박하다 쑥스럽다 무겁다 길다 차다 가까우다 배부르다 괜찮다 따갑다 서툴다 형편없다 대차다 묘하다 푸르르다 섭하다 짝다 맵다 순하다 세다 부러우다 굳세다 환하다 무거우다 아무렇다 푸르다 엷다 허벌나다 끊임없다 맛나다 싶다 짙다 넓디넓다 멋들어지다 어떻다 부옇다 
대저캠핑장, 힘들다 저리다 인상깊다 있다 부럽다 못지않다 빠르다 어리다 없다 급하다 귀엽다 갑작스럽다 아쉽다 손색없다 그렇다 같다 예쁘다 아름답다 멋있다 곧다 매끄럽다 작다 희다 다 부끄럽다 크다 고프다 넓다 맛있다 수많다 반갑다 촌스럽다 높다 싫다 많다 엄청나다 쉽다 멀다 강하다 죠다 늦다 맑다 낮다 정신없다 뛰어나다 심하다 약허다 밝다 뜨겁다 실허다 나쁘다 낯설다 르다 적다 얇다 질기다 나다 재미있다 박하다 저렇다 드물다 젊다 멋지다 습지다 길다 노오랗다 벌겋다 짧다 바쁘다 어렵다 굳다 차다 밭다 부드럽다 편하다 가까우다 갓다 덥다 싸다 배부르다 괜찮다 가깝다 좁다 재미없다 무지하다 맵다 좋다 세다 새롭다 반가다 곱다 배고프다 푸르다 읎다 비싸다 어설프다 똑같다 파랗다 맛나다 재밌다 이쁘다 노랗다 알맞다 
대저토마토축제, 덜하다 힘들다 있다 무섭다 어둡다 빠르다 없다 매섭다 급하다 귀엽다 아쉽다 그렇다 같다 예쁘다 아름답다 알차다 잽싸다 그립다 멋있다 매끄럽다 야무지다 드넓다 작다 이렇다 달큰하다 다 부끄럽다 크다 고프다 넓다 맛있다 수많다 반갑다 높다 싫다 많다 엄청나다 쉽다 멀다 강하다 얕다 진하다 볼품없다 늦다 맑다 낮다 뛰어나다 흐리다 아프다 심하다 밝다 옅다 나쁘다 어이없다 즐겁다 르다 적다 질기다 조다 깊다 나다 재미있다 무겁다 드물다 고맙다 멋지다 귀하다 습지다 길다 빨갛다 짧다 바쁘다 어렵다 부드럽다 편하다 덥다 괜찮다 굵다 따갑다 가깝다 서툴다 어떻다 좁다 좋다 붉다 곱다 샛노랗다 비싸다 예뿌다 뒤늦다 똑같다 맛나다 재밌다 이쁘다 노랗다 짙다 검붉다 알맞다 
대정양곱창, 맛없다 힘들다 비리다 있다 부럽다 빠르다 쎄다 없다 춥다 급하다 귀엽다 가볍다 아쉽다 같다 예쁘다 그렇다 상관없다 알차다 아름답다 지나치다 멋있다 놀랍다 고르다 부드러우다 야무지다 흔하다 작다 실하다 이렇다 다 낫다 크다 고프다 넓다 맛있다 보드랍다 야물딱지다 수많다 반갑다 높다 기쁘다 겉다 싫다 많다 세차다 쉽다 시끄럽다 강하다 진하다 늦다 맑다 정신없다 낮다 아프다 심하다 이릏다 밝다 나쁘다 잘다 기름지다 르다 즐겁다 적다 얇다 질기다 깊다 나다 재미있다 무겁다 저렇다 젊다 고맙다 멋지다 귀하다 길다 빨갛다 재빠르다 바쁘다 어렵다 굳다 편하다 갓다 드세다 덥다 배부르다 싸다 괜찮다 가파르다 따갑다 가깝다 민하다 어떻다 좁다 무지하다 섭하다 찹다 맵다 좋다 험하다 새롭다 세다 약하다 비싸다 똑같다 파랗다 맛나다 재밌다 이쁘다 짙다 알맞다 
대천공원, 맛없다 아쉬우다 장하다 힘들다 저리다 비리다 있다 부럽다 무섭다 두껍다 독하다 어둡다 빠르다 쨍하다 칠칠맞다 조그맣다 어리다 쎄다 없다 춥다 급하다 가볍다 귀엽다 간지럽다 힘드다 갑작스럽다 아쉽다 머다 흐드러지다 색다르다 이다 같다 예쁘다 그렇다 해맑다 상관없다 알차다 아름답다 착하다 싱겁다 문제없다 설다 잽싸다 거하다 드높다 예뻤다 지나치다 묽다 그립다 쏜살같다 멋있다 놀랍다 고르다 속상하다 아푸다 찐하다 습하다 야무지다 힘겹다 흔하다 드넓다 작다 이렇다 도드라지다 많고많다 희다 다 낫다 멋쩍다 부끄럽다 크다 고프다 넓다 맛있다 존다 친하다 야물딱지다 수많다 아깝다 반갑다 촌스럽다 높다 잦다 기쁘다 미끄럽다 겉다 정답다 걸맞다 고마우다 싫다 더우다 많다 엄청나다 뻔하다 쉽다 시끄럽다 멀다 구리다 틀림없다 얕다 변함없다 퍼렇다 귀찮다 죠다 빡세다 늦다 맑다 낮다 정신없다 흐리다 아프다 더럽다 심하다 즐거다 과하다 가늘다 후하다 밝다 뜨겁다 옅다 동글다 나쁘다 어이없다 쩔다 잘다 낯설다 어떠다 새까맣다 즐겁다 르다 틀리다 적다 얇다 벅차다 조다 깊다 나다 재미있다 무겁다 저렇다 궂다 젊다 고맙다 멋지다 귀하다 낯익다 길다 외롭다 추다 짧다 바쁘다 어렵다 검붉다 차갑다 굳다 차다 우연찮다 밭다 귀여우다 뜨다 쓸데없다 부드럽다 둥글다 편하다 옥다 헐벗다 갓다 드세다 덥다 가파르다 싸다 괜찮다 배부르다 굵다 가깝다 오지다 재미없다 무지하다 섭하다 짝다 씨다 거칠다 슬프다 맵다 좋다 험하다 새롭다 세다 붉다 구다 올곧다 곱다 시다 아무렇다 배고프다 검다 푸르다 비싸다 몽글다 뒤늦다 예뿌다 똑같다 지겹다 맛나다 파랗다 재밌다 힘차다 이쁘다 싶다 짙다 노랗다 재수없다 멋들어지다 번거로우다 수줍다 어떻다 느리다 
대천천, 귀여우다 안타깝다 맑다 힘들다 낮다 편하다 작다 있다 이렇다 덥다 희다 다 빠르다 가깝다 밝다 쎄다 없다 크다 귀엽다 넓다 가볍다 나쁘다 맛있다 거칠다 아쉽다 좋다 르다 붉다 성하다 높다 잦다 적다 비좁다 환하다 같다 예쁘다 깊다 그렇다 재미있다 곱다 아름답다 싫다 아무렇다 검다 잽싸다 푸르다 많다 굳다 젊다 엄청나다 고맙다 예뿌다 멋지다 길다 쉽다 멀다 재밌다 앙증맞다 이쁘다 짧다 얕다 차갑다 늦다 
대항 어촌체험 휴양마을, 안녕하다 드넓다 맑다 힘들다 낮다 눈부시다 작다 있다 이렇다 못지않다 덥다 무섭다 괜찮다 다 가깝다 좁다 없다 크다 가볍다 넓다 맛있다 나쁘다 어려우다 슬프다 아쉽다 세다 좋다 수많다 새롭다 르다 저러다 이채롭다 성하다 높다 잦다 적다 같다 예쁘다 재미있다 까맣다 아름답다 알차다 지나치다 많다 굳다 젊다 길다 똑같다 쉽다 멀다 힘차다 짧다 어렵다 얕다 변함없다 죠다 야무지다 
대항선착장, 안타깝다 드넓다 맑다 힘들다 낮다 편하다 흐리다 얄궂다 작다 있다 이렇다 유례없다 싸다 괜찮다 어둡다 다 옳다 빠르다 가깝다 좁다 줄기차다 옅다 없다 크다 가볍다 넓다 지대다 맛있다 나쁘다 관계없다 좋다 수많다 르다 높다 잦다 적다 심심찮다 미우다 같다 그렇다 깊다 없다다 상관없다 곱다 싫다 저렇다 드물다 많다 젊다 비싸다 엄청나다 름없다 똑같다 호되다 길다 쉽다 증하다 느리다 멀다 강하다 짧다 바쁘다 어렵다 어떻다 늦다 
대항전망대, 안타깝다 힘들다 눈부시다 인상깊다 있다 무섭다 어둡다 빠르다 어리다 없다 급하다 가볍다 힘드다 관계없다 아쉽다 흐드러지다 심심찮다 미우다 같다 그렇다 예쁘다 해맑다 상관없다 아름답다 알차다 묽다 지나치다 거세다 멋있다 놀랍다 호되다 증하다 고르다 찐하다 누르다 힘겹다 드넓다 작다 이렇다 다 크다 넓다 지대다 맛있다 수많다 반갑다 높다 잦다 기쁘다 까맣다 싫다 둥그렇다 많다 엄청나다 쉽다 시끄럽다 멀다 강하다 얕다 귀찮다 늦다 맑다 낮다 흐리다 얄궂다 아프다 심하다 유례없다 옳다 밝다 옅다 나쁘다 어이없다 낯설다 르다 즐겁다 적다 깊다 박하다 재미있다 없다다 저렇다 드물다 웁다 젊다 멋지다 귀하다 름없다 길다 빡시다 짙푸르다 짧다 바쁘다 어렵다 편하다 덥다 게으르다 싸다 괜찮다 굵다 따갑다 가깝다 어떻다 좁다 줄기차다 슬프다 좋다 새롭다 붉다 곱다 비싸다 기막히다 예뿌다 똑같다 맛나다 힘차다 재밌다 이쁘다 짙다 수줍다 알맞다 느리다 
더무빙카라반, 맛없다 안타깝다 아쉬우다 힘들다 저리다 눈부시다 비리다 있다 부럽다 무섭다 어둡다 빠르다 쨍하다 없다 춥다 급하다 귀엽다 가볍다 아쉽다 바르다 색다르다 그렇다 같다 예쁘다 아름답다 알차다 멋있다 놀랍다 고르다 앙증맞다 정겹다 습하다 야무지다 흔하다 작다 시렵다 값지다 이렇다 다 낫다 크다 고프다 넓다 맛있다 수많다 높다 싫다 많다 엄청나다 쉽다 시끄럽다 멀다 옴팡지다 진하다 귀찮다 뿌옇다 늦다 맑다 낮다 아프다 과하다 옳다 밝다 나쁘다 어이없다 잘다 르다 틀리다 즐겁다 적다 얇다 비좁다 깊다 재미있다 두렵다 저렇다 궂다 젊다 고맙다 멋지다 하찮다 길다 외지다 빨갛다 짧다 바쁘다 어렵다 귀여우다 편하다 덥다 괜찮다 굵다 가깝다 좁다 찹다 좋다 세다 새롭다 붉다 환하다 철없다 검다 뒤늦다 똑같다 놀라우다 맛나다 지겹다 재밌다 이쁘다 너그럽다 노랗다 까지다 값싸다 어떻다 
더베이101, 아쉬우다 힘들다 비리다 있다 부럽다 무섭다 어둡다 빠르다 없다 춥다 급하다 귀엽다 아쉽다 같다 예쁘다 그렇다 상관없다 아름답다 알차다 멋있다 앙증맞다 습하다 야무지다 작다 이렇다 다 낫다 크다 고프다 넓다 맛있다 우습다 드럽다 아깝다 반갑다 높다 싫다 많다 엄청나다 쉽다 멀다 강하다 귀찮다 죠다 늦다 맑다 흐리다 더럽다 밝다 나쁘다 어이없다 르다 즐겁다 남다르다 적다 시커멓다 나다 재미있다 멋지다 길다 어떻하다 외다 짧다 바쁘다 부드럽다 편하다 가까우다 덥다 싸다 굵다 괜찮다 가깝다 좁다 언짢다 좋다 세다 졸리다 붉다 환하다 비싸다 뒤늦다 파랗다 맛나다 재밌다 힘차다 이쁘다 밤늦다 어떻다 느리다 
델타루 (에코델타시티 전망대), 힘들다 낮다 작다 있다 휑하다 좁다 부끄럽다 없다 나쁘다 아쉽다 좋다 즐겁다 높다 같다 그렇다 나다 재미있다 아름답다 많다 젊다 고맙다 멀다 이쁘다 
동경밥상, 맛없다 힘들다 저리다 비리다 있다 무섭다 빠르다 쎄다 없다 춥다 급하다 가볍다 귀엽다 아쉽다 맑디맑다 같다 예쁘다 그렇다 알차다 착하다 잽싸다 지나치다 그립다 멋있다 앙증맞다 부드러우다 야무지다 기다랗다 작다 이렇다 달큰하다 다 낫다 부끄럽다 크다 고프다 넓다 맛있다 아깝다 높다 겉다 싫다 더우다 많다 엄청나다 쉽다 시끄럽다 멀다 구리다 강하다 귀찮다 늦다 맑다 정신없다 얄궂다 아프다 심하다 과하다 옳다 밝다 나쁘다 잘다 낯설다 즐겁다 르다 적다 얇다 질기다 싱그럽다 깊다 나다 무겁다 저렇다 궂다 고맙다 멋지다 길다 짧다 어렵다 차다 차갑다 귀여우다 부드럽다 편하다 가까우다 덥다 싸다 배부르다 굵다 괜찮다 가깝다 좁다 섭하다 맵다 좋다 세다 새롭다 곱다 시다 아무렇다 배고프다 검다 약하다 즐거우다 비싸다 예뿌다 뒤늦다 똑같다 재밌다 이쁘다 
동래 베네스트 골프클럽, 아쉬우다 힘들다 부드럽다 정신없다 낮다 뛰어나다 편하다 흐리다 작다 있다 심하다 즐거다 괜찮다 어둡다 다 빠르다 가깝다 쎄다 좁다 없다 크다 가볍다 넓다 늦다 귀엽다 나쁘다 손쉽다 찹다 힘드다 아쉽다 좋다 맛있다 수많다 새롭다 르다 어려우다 반갑다 즐겁다 높다 아까우다 적다 같다 깊다 그렇다 재미있다 예쁘다 나다 싫다 알차다 착하다 아름답다 검다 드물다 많다 비싸다 젊다 멋지다 뒤늦다 멋있다 길다 놀랍다 곧다 쉽다 시끄럽다 멀다 느리다 재밌다 이쁘다 짧다 바쁘다 어렵다 아낌없다 매끄럽다 알맞다 귀찮다 힘겹다 
동래온천 노천족탕, 맛없다 힘들다 있다 못지않다 무섭다 두껍다 어둡다 빠르다 쎄다 없다 춥다 급하다 가볍다 귀엽다 아쉽다 흐드러지다 손색없다 같다 예쁘다 그렇다 아름답다 싱겁다 지나치다 그립다 멋있다 매끄럽다 안녕하다 작다 이렇다 도드라지다 다 크다 넓다 맛있다 수많다 높다 기쁘다 싫다 많다 쉽다 멀다 글다 귀찮다 낡다 맑다 알맞다 낮다 밝다 뜨겁다 나쁘다 잘다 르다 즐겁다 적다 얇다 조다 깊다 싱그럽다 나다 저렇다 어지럽다 젊다 고맙다 멋지다 길다 어렵다 차갑다 굳다 우연찮다 편하다 배부르다 싸다 괜찮다 좁다 섭하다 거칠다 좋다 새롭다 약다 비싸다 똑같다 힘차다 재밌다 이쁘다 짙다 어떻다 
동래온천(허심청), 맛없다 아쉬우다 덜하다 힘들다 있다 부럽다 무섭다 어둡다 빠르다 없다 급하다 가볍다 귀엽다 아쉽다 색다르다 손색없다 같다 예쁘다 그렇다 착하다 설다 지나치다 멋있다 고르다 매끄럽다 기다랗다 드넓다 작다 이렇다 다 낫다 크다 넓다 맛있다 수많다 반갑다 높다 기쁘다 싫다 많다 엄청나다 쉽다 멀다 용하다 강하다 귀찮다 낡다 늦다 알맞다 맑다 정신없다 낮다 아프다 심하다 뜨겁다 밝다 나쁘다 르다 즐겁다 적다 얇다 조다 깊다 재미있다 무겁다 저렇다 젊다 멋지다 길다 짧다 바쁘다 어렵다 차갑다 굳다 바뿌다 부드럽다 편하다 가까우다 갓다 덥다 배부르다 괜찮다 가깝다 멋적다 좁다 섭하다 맵다 슬프다 좋다 순하다 새롭다 환하다 검다 우하다 약하다 비싸다 뒤늦다 예뿌다 맛나다 재밌다 이쁘다 짙다 어떻다 
