adj
괜찮다
예쁘다
재밌다
높다
무섭다
이쁘다
야무지다
힘들다
맛있다
넓다
크다
험하다
붉다
맛나다
작다
적다
지나치다
멋지다
배부르다
시끄럽다
맵다
가깝다
지나치다
덜하다 
맑다
아름답다
재빠르다
환하다
즐겁다
매끄럽다
쪼그맣다
쿨하다
가볍다
부드럽다
끄덕없다
희다
습하다
잽싸다
비싸다
노랗다
영하다
뜨겁다
엄청나다
보람차다
기름지다
고르다
알차다
빠르다
싱겁다
귀엽다
춥다
짧다
굵다
진하다
찐하다
고맙다
찹다
새롭다
얇다
귀여우다
덥다
쉽다
매섭다
흐리다
하얗다
젊다
깊다
손색없다
색다르다
맵다
뜻깊다
박하다
해로우다
약하다
좁다
엄과하다
짙다
귀하다
어렵다
옳다
반갑다
편하다
싸다
따뜻하다
뜨시다
춥다
비리다
부드럽다
정신없다
세다
급하다
착하다
두렵다
파랗다
빡시다
인상깊다
매섭다
수많다
외롭다
깊다
조그만하다
사이좋다
묘하다
강하다
후하다
가파르다
못지않다
재미있다
뜻깊다
멋있다
차다
따시다
검다
깊다
밝다
촌스럽다
하찮다
어둡다
멀다
우연찮다
작다
귀찮다
두껍다
지겹다
틀림없다
푸르다
까맣다
세차다
푸르르다
그럴싸하다
정겹다
손쉽다
낮다
붉다
깊다
뿌옇다
어둡다
부끄럽다
특출나다
똑같다
얕다
얼큰하다
실하다
활기차다
연하다
눈부시다
걸맞다
나쁘다
순하다
흔하다
새파랗다
빠삭하다
곱다
드넓다
꿈같다
차갑다
예뻤다
그립다
앙증맞다
슬프다
색다르다
드물다
단촐하다
새초롬하다
희다
기똥차다
옛스럽다
맛없다
낫다
경이롭다
멋들어지다
특별나다
누리다
비좁다
야물다
쨍하다
예뿌다
이뿌다
그립다
뛰어나다
폭넓다
따갑다
놀랍다
