keyword,same
부산 송도해수욕장,"['수많다', '짠하다', '흔하다', '드넓다', '젊다', '싸다', '부시다', '빨갛다', '눈부시다', '힘차다', '빠르다', '적다', '미끄럽다', '번거롭다', '비싸다', '두렵다', '낫다', '세차다', '하얗다', '가엾다', '인상깊다', '아쉬우다', '하찮다', '역하다', '예뿌다', '어두우다', '두껍다', '밝다', '보람차다', '무덥다', '알맞다', '걸맞다', '쎄다', '정신없다', '곱다', '엄청나다', '오래다', '까맣다', '비좁다', '알차다', '새롭다', '예뻤다', '손색없다', '빡쎄다', '좁다', '반갑다', '얕다', '아깝다', '시끄럽다', '앙증맞다', '연하다', '야무지다', '새파랗다', '습하다', '우습다', '어렵다', '거세다', '무섭다', '즐겁다', '살갑다', '어려우다', '거칠다', '색다르다', '더럽다', '희다', '오지다', '뜨거우다', '정겹다', '멀다', '냅다', '매끄럽다', '부끄럽다', '싱그럽다', '차다', '친하다', '넓디넓다', '뛰어나다', '지겹다', '새로우다', '쩔다', '문제없다', '노랗다', '애처롭다', '따갑다', '뜨겁다', '멋있다', '훤하다', '드세다', '붉다', '드물다', '찹다', '실하다', '맑다', '그립다', '재미나다', '어이없다', '커다랗다', '까다롭다', '묘하다', '서럽다', '끊임없다', '조그맣다', '손쉽다', '널럴하다', '외롭다', '섭하다', '흥겹다', '아름답다', '푸르르다', '틀림없다', '촌스럽다', '재빠르다', '후하다', '슬프다', '고우다', '놀랍다', '고르다', '시리다', '춥다', '징그럽다', '수줍다', '어둡다', '가깝다', '가파르다', '무겁다', '안타깝다', '귀엽다', '덥다', '드높다', '달디달다', '뿌옇다', '재미없다', '어지럽다', '거침없다', '더우다', '푸르다', '뜻깊다', '귀여우다', '동그랗다', '이쁘다', '약하다', '쓸데없다', '새빨갛다', '정답다', '가볍다', '낯설다', '멋지다', '박하다', '빡시다', '재미있다', '차갑다', '깊다', '밤늦다', '못지않다', '얄궂다', '잽싸다', '급하다', '짙다', '환하다', '싫다', '적잖다', '추우다', '느리다', '지겨우다', '남다르다', '낡다', '낮다', '시렵다', '활기차다', '보드랍다', '파랗다', '귀하다', '힘드다', '덩그러다', '바르다', '빡세다', '새까맣다', '기막히다', '과하다', '굳세다', '달갑다', '숨차다', '가까우다']"
범어사(부산),"['흔하다', '수많다', '귀엽다', '드넓다', '젊다', '싸다', '알차다', '새롭다', '덥다', '멋있다', '드세다', '빨갛다', '점잖다', '붉다', '빠르다', '좁다', '맑다', '더우다', '반갑다', '푸르다', '이쁘다', '적다', '시끄럽다', '동그랗다', '야무지다', '비싸다', '가볍다', '가까우다', '곧다', '멋지다', '어렵다', '재미있다', '세차다', '즐겁다', '무섭다', '어려우다', '험하다', '깊다', '거칠다', '값지다', '잽싸다', '환하다', '싫다', '아름답다', '느리다', '푸르르다', '지겨우다', '두껍다', '멀다', '밝다', '남다르다', '낮다', '놀랍다', '고르다', '춥다', '알맞다', '쎄다', '넓디넓다', '덩그러다', '정신없다', '곱다', '어둡다', '노랗다', '가깝다', '엄청나다', '안타깝다']"
태종대,"['귀엽다', '젊다', '드넓다', '싸다', '비좁다', '알차다', '새롭다', '멋있다', '덥다', '뿌옇다', '붉다', '힘차다', '좁다', '빠르다', '맑다', '푸르다', '반갑다', '짓궂다', '아깝다', '적다', '앙증맞다', '이쁘다', '쨍하다', '동그랗다', '야무지다', '비싸다', '새파랗다', '커다랗다', '우습다', '가볍다', '뻔하다', '거세다', '어렵다', '멋지다', '재미있다', '즐겁다', '무섭다', '차갑다', '손쉽다', '하얗다', '누리다', '급하다', '짙다', '무겁다', '싫다', '뜨거우다', '아름답다', '멀다', '낡다', '밝다', '낮다', '놀랍다', '춥다', '힘드다', '쎄다', '빡세다', '가깝다', '가파르다', '엄청나다', '가까우다']"
해운대 달맞이길,"['귀엽다', '젊다', '싸다', '뜨겁다', '알차다', '덥다', '멋있다', '휑하다', '빨갛다', '붉다', '힘차다', '재미없다', '빠르다', '맑다', '반갑다', '아깝다', '앙증맞다', '이쁘다', '연하다', '비싸다', '어이없다', '가볍다', '낯설다', '어렵다', '재미있다', '세차다', '즐겁다', '조그맣다', '깊다', '거칠다', '급하다', '아쉬우다', '싫다', '아름답다', '느리다', '남다르다', '두껍다', '멀다', '밝다', '낮다', '춥다', '빡세다', '쎄다', '구리다', '정신없다', '곱다', '가깝다', '단촐하다']"
민락수변공원,"['귀엽다', '젊다', '덥다', '싸다', '알차다', '멋있다', '좁다', '더우다', '빠르다', '맑다', '푸르다', '속상하다', '귀여우다', '이쁘다', '적다', '야무지다', '비싸다', '어이없다', '까다롭다', '가볍다', '멋지다', '어렵다', '재미있다', '무섭다', '깊다', '즐겁다', '급하다', '더럽다', '아쉬우다', '오지다', '싫다', '예뿌다', '멀다', '낡다', '밝다', '놀랍다', '춥다', '빡세다', '알맞다', '쎄다', '정신없다', '어둡다', '과하다', '가파르다', '엄청나다']"
부산진성공원,"['수많다', '귀엽다', '젊다', '싸다', '덥다', '알차다', '새롭다', '멋있다', '빨갛다', '붉다', '재미없다', '드물다', '거침없다', '좁다', '빠르다', '맑다', '뜻깊다', '귀여우다', '아깝다', '적다', '이쁘다', '쨍하다', '야무지다', '비싸다', '가볍다', '가까우다', '곧다', '어렵다', '재미있다', '무섭다', '즐겁다', '깊다', '급하다', '희다', '오지다', '싫다', '정겹다', '아름답다', '느리다', '멀다', '밝다', '슬프다', '시리다', '놀랍다', '귀하다', '춥다', '쎄다', '뛰어나다', '정신없다', '과하다', '가깝다', '엄청나다', '단촐하다', '안타깝다']"
광복로문화패션거리,"['수많다', '귀엽다', '덥다', '까맣다', '알차다', '새롭다', '멋있다', '붉다', '좁다', '빠르다', '그립다', '푸르다', '반갑다', '이쁘다', '적다', '약하다', '변함없다', '시끄럽다', '비싸다', '낫다', '가볍다', '묘하다', '멋지다', '재미있다', '즐겁다', '깊다', '밤늦다', '무섭다', '급하다', '아쉬우다', '아름답다', '느리다', '예뿌다', '정겹다', '멀다', '낡다', '밝다', '낮다', '후하다', '춥다', '정신없다', '어둡다', '가깝다', '엄청나다', '안타깝다']"
허심청,"['귀엽다', '젊다', '뜨겁다', '알차다', '손색없다', '새롭다', '멋있다', '힘차다', '빠르다', '좁다', '맑다', '반갑다', '기쁘다', '얕다', '이쁘다', '적다', '약하다', '야무지다', '비싸다', '어이없다', '낫다', '가볍다', '멋지다', '어렵다', '재미있다', '즐겁다', '깊다', '차갑다', '조그맣다', '무섭다', '색다르다', '무겁다', '오지다', '싫다', '멀다', '낡다', '밝다', '낮다', '용하다', '고르다', '빡세다', '쩔다', '어둡다', '가깝다', '엄청나다', '가까우다']"
금강공원,"['수많다', '귀엽다', '싸다', '뜨겁다', '알차다', '힘겹다', '멋있다', '붉다', '드물다', '좁다', '빠르다', '맑다', '뜻깊다', '이쁘다', '적다', '야무지다', '커다랗다', '까다롭다', '가볍다', '어렵다', '재미있다', '무섭다', '즐겁다', '깊다', '못지않다', '색다르다', '잽싸다', '급하다', '더럽다', '싫다', '아름답다', '느리다', '멀다', '낡다', '밝다', '낮다', '재빠르다', '낯익다', '슬프다', '힘드다', '춥다', '쎄다', '걸맞다', '가깝다', '가파르다', '엄청나다', '단촐하다']"
BIFF 광장,"['사이좋다', '수많다', '귀엽다', '흔하다', '드넓다', '싸다', '힘겹다', '알차다', '덥다', '뜨겁다', '멋있다', '새롭다', '어지럽다', '좁다', '맑다', '반갑다', '이쁘다', '적다', '습하다', '묘하다', '어렵다', '끊임없다', '재미있다', '즐겁다', '급하다', '싫다', '정겹다', '멀다', '낡다', '밝다', '차다', '춥다', '빡세다', '알맞다', '지겹다', '곱다', '가깝다']"
