keyword,adj_count_2
SEA LIFE 부산아쿠아리움,    있다    192      좋다    176      같다    163      많다    95      없다    91      귀엽다    37      재밌다    31      크다    27      작다    23      맛있다    22      예쁘다    20      이쁘다    13      무섭다    12      넓다    11      재미있다    11      아쉽다    10      길다    10      힘들다    9      깊다    7      편하다    7      늦다    7      즐겁다    5      싫다    5     다 르다    5      멋지다    5      아프다    5      아름답다    4      수많다    4      높다    4      엄청나다    4      빠르다    4      그렇다    4      쉽다    3      어렵다    3      밝다    3      징그럽다    3      바쁘다    3      검다    3      멋있다    3      적다    3      괜찮다    3      좁다    2      짧다    2      지나치다    2      비싸다    2      반갑다    2      급하다    2      얇다    2      얕다    2      알차다    2      앙증맞다    2      정신없다    2      야무지다    2      맛없다    2      어떻다    2      춥다    2      하찮다    2      나쁘다    1      부드럽다    1      무지하다    1      상관없다    1      느리다    1      귀찮다    1      어지럽다    1      틀리다    1      쌔다    1      날카롭다    1      재빠르다    1      옳다    1      안쓰럽다    1      강하다    1      못지않다    1      멀다    1      앙칼지다    1      그립다    1      재미없다    1      바르다    1      날래다    1      애꿎다    1      뛰어나다    1      귀여우다    1      사납다    1      맵다    1      진하다    1      알맞다    1      활기차다    1      아쉬우다    1      싸다    1      부끄러우다    1      촌스럽다    1      새롭다    1      세다    1      뜨겁다    1      이렇다    1      차갑다    1      어둡다    1      사이좋다    1      고맙다    1      슬프다    1      기차다    1  
UN평화축제,    좋다    85      있다    55      많다    36      없다    35      같다    33      예쁘다    10      작다    9      편하다    5      맛있다    5      넓다    5      높다    4      재미있다    4      힘들다    4      크다    4      쉽다    3      즐겁다    3      새롭다    3      늦다    2      세다    2     다 르다    2      춥다    2      짧다    2      길다    2      괜찮다    2      덥다    2      재밌다    2      맑다    2      반갑다    1      문제없다    1      잽싸다    1      귀엽다    1      번거로우다    1      바쁘다    1      저렇다    1      밝다    1      나쁘다    1      빼어나다    1      깊다    1      젊다    1      드물다    1      뿌옇다    1      동그랗다    1      엄청나다    1      급하다    1      멀다    1      아쉽다    1      얕다    1  
[부산 갈맷길 2코스] 2구간 민락교~오륙도,    좋다    195      있다    193      같다    111      많다    105      없다    76      힘들다    32      넓다    22      길다    21      높다    19      이쁘다    16      작다    15      아름답다    14      맑다    12      크다    12      맛있다    11      가볍다    10      멋지다    10      반갑다    10      멀다    10      예쁘다    9      괜찮다    9      짧다    8      쉽다    8      그렇다    8      좁다    8      멋있다    7      늦다    6      싫다    6      재밌다    6      아쉽다    6      아프다    6      편하다    5      젊다    5      무섭다    4     다 르다    4      즐겁다    4      어렵다    3      엄청나다    3      춥다    3      낡다    3      가깝다    3      끊임없다    2      드물다    2      적다    2      낮다    2      얕다    2      덥다    2      깊다    2      눈부시다    2      수많다    1      흐리다    1      부럽다    1      약하다    1      급하다    1      뿌옇다    1      새롭다    1      매섭다    1      어떻다    1      버겁다    1      과하다    1      훤하다    1      둥글다    1      붉다    1      빠르다    1      나다    1      저렇다    1      빡세다    1      비싸다    1      파랗다    1      예뻤다    1      뜨겁다    1      상관없다    1      차갑다    1      이렇다    1      고맙다    1      무덥다    1      기막히다    1      낫다    1      갓다    1      어김없다    1      좁다랗다    1      그립다    1      드넓다    1      간데없다    1      재미있다    1      힘차다    1      지나치다    1      귀하다    1      아깝다    1      야무지다    1      굳다    1      재빠르다    1      고르다    1      고프다    1      쨍하다    1  
café de 220VOLT,    맛있다    61      좋다    55      있다    16      없다    15      같다    14      크다    14      많다    13      넓다    7      싸다    6      뜨다    5      곱다    4      쉽다    3      이쁘다    3      길다    3      맑다    3      맵다    3      작다    3      멀다    2      고르다    2      괜찮다    2      부드럽다    2      나쁘다    2      굳세다    2      옥다    2     다 르다    2      조다    2      찹다    2      멋지다    2      세다    1      높다    1      뜨겁다    1      적다    1      힘들다    1      쨍하다    1      어렵다    1      어둡다    1      흔하다    1      젊다    1      곱디곱다    1      희다    1      밸라다    1      짝다    1      따숩다    1      나다    1      어처구니없다    1      쌀쌀맞다    1      맛없다    1      반갑다    1      알맞다    1      겉다    1      에리다    1      맛나다    1      세차다    1      예쁘다    1      족하다    1      검다    1      비리다    1      웁다    1      낡다    1      짙다    1      그렇다    1      무겁다    1      편하다    1      싫다    1      재밌다    1  
가덕도,    좋다    2034      있다    1231      같다    1090      많다    961      없다    951      맛있다    501      넓다    206      작다    175      크다    143      예쁘다    131      높다    120      괜찮다    109      힘들다    104      편하다    94      아쉽다    85      그렇다    77      맑다    77      짧다    76      길다    64      이쁘다    58      쉽다    56      늦다    54      멀다    53     다 르다    50      멋지다    50      빠르다    46      좁다    44      재밌다    43      깊다    37      아름답다    36      싫다    36      귀엽다    32      알차다    32      낮다    31      어렵다    31      비싸다    31      나쁘다    29      멋있다    27      덥다    26      붉다    26      즐겁다    25      재미있다    25      야무지다    25      적다    24      가깝다    23      가볍다    22      밝다    22      급하다    21      엄청나다    20      싸다    18      젊다    17      이렇다    17      아프다    17      무섭다    16      맛나다    16      귀찮다    16      고맙다    16      춥다    15      새롭다    14      부드럽다    13      수많다    13      바쁘다    13      맛없다    12      흐리다    12      아깝다    12      반갑다    12      힘겹다    9      부럽다    9      뜨겁다    8      가파르다    8      얇다    8      고프다    8      똑같다    7      굵다    7      세다    7      심하다    7      진하다    7      겉다    7      나다    6      안타깝다    6      걸맞다    6      시끄럽다    6      짙다    6      쎄다    6      박하다    6      조다    6      어떻다    5      과하다    5      드물다    5      습하다    5      상관없다    5      지나치다    5      고르다    5      슬프다    5      얕다    5      드넓다    5      맵다    5      검다    5      못지않다    4      착하다    4  
가덕도 등대,    있다    99      좋다    84      같다    71      많다    52      없다    46      높다    12      예쁘다    10      작다    10      넓다    9      맛있다    7      길다    7      맑다    6      짧다    6      깊다    6      아쉽다    5      어렵다    5      편하다    5      그렇다    5      붉다    5      멋지다    4      좁다    4      힘들다    4      빠르다    4      늦다    4      수많다    3      재밌다    3      쉽다    3      귀엽다    3      무섭다    3      이쁘다    3      크다    3      아름답다    3      낮다    3      고맙다    2      힘겹다    2      기쁘다    2      급하다    2      가깝다    2      지나치다    2      귀하다    2      바쁘다    2      징그럽다    2      맛없다    2      맛나다    1      가볍다    1      뜻깊다    1      시끄럽다    1      둥그렇다    1      어리다    1      게으르다    1      놀랍다    1      수줍다    1      알차다    1      어려우다    1      이렇다    1      문제없다    1      귀찮다    1      쎄다    1      낡다    1      적다    1      거세다    1      반갑다    1      괜찮다    1      깜다    1     다 르다    1      잘다    1      고프다    1      부드럽다    1      간드러지다    1      싫다    1      환하다    1      빨갛다    1      세다    1      아리다    1      드넓다    1      굵다    1      즐겁다    1      과하다    1  
가덕도 연대봉,    좋다    117      있다    89      같다    66      없다    61      많다    56      작다    24      높다    17      넓다    17      힘들다    13      맑다    12      맛있다    10      길다    9      크다    9      멋지다    8      쉽다    8      어렵다    8      좁다    8      아쉽다    7      짧다    7      그렇다    6      낮다    5      깊다    5      아름답다    4      가볍다    4      가깝다    4      빠르다    4      멋있다    4      멀다    4      늦다    4      예쁘다    4      재미있다    3      붉다    3      편하다    3      싫다    3      나쁘다    3      재밌다    3      아프다    3      바쁘다    2      밝다    2      귀하다    2      알맞다    2      짙다    2      수많다    2      귀찮다    2      무섭다    2      반갑다    2      춥다    1      덥다    1      노랗다    1      상관없다    1      지나치다    1      둥그렇다    1      어리다    1      게으르다    1      놀랍다    1      얕다    1      귀엽다    1      싸다    1      굵다    1      약하다    1      나다    1      비싸다    1      급하다    1      시끄럽다    1      이쁘다    1      이렇다    1      따갑다    1      심하다    1      알차다    1      쩔다    1      엄청나다    1      차갑다    1      웁다    1      괜찮다    1      눈부시다    1      푸르다    1      안타깝다    1      어둡다    1      수줍다    1      조다    1      야무지다    1     다 르다    1      까맣다    1      못지않다    1      이채롭다    1      경이롭다    1  
가덕도대항인공동굴,    좋다    515      있다    455      없다    307      같다    289      많다    271      작다    76      크다    62      맛있다    58      길다    39      넓다    38      짧다    36      높다    34      예쁘다    29      맑다    29      아름답다    27      깊다    26      힘들다    26      그렇다    26      이쁘다    23      편하다    22      쉽다    21      적다    20      아쉽다    19      가볍다    18      괜찮다    18      멋지다    17      좁다    17      가깝다    16      멀다    15     다 르다    15      어렵다    14      늦다    13      아프다    11      춥다    10      슬프다    10      무섭다    9      덥다    9      멋있다    9      심하다    9      붉다    8      재미있다    8      어둡다    8      귀찮다    8      짙다    8      희다    7      낮다    7      수많다    7      밝다    7      힘겹다    6      나쁘다    6      재밌다    6      알차다    6      지나치다    5      안타깝다    5      굵다    5      가파르다    5      귀엽다    5      엄청나다    5      이렇다    5      푸르다    5      잦다    4      새롭다    4      얕다    4      싫다    3      빠르다    3      드넓다    3      고르다    3      부드럽다    3      눈부시다    3      옳다    3      아쉬우다    3      즐겁다    3      고프다    3      귀하다    3      인상깊다    2      힘드다    2      급하다    2      반갑다    2      무겁다    2      친하다    2      야무지다    2      시끄럽다    2      못지않다    2      변함없다    2      나다    2      속상하다    2      젊다    2      느리다    2      흐리다    2      아름다우다    2      힘차다    2      맛나다    2      환하다    2      묘하다    2      동그랗다    2      시리다    2      따숩다    2      맵다    2      뛰어나다    2      저렇다    2  
가덕해양파크휴게소,    좋다    559      있다    492      없다    450      같다    421      많다    348      맛있다    178      높다    91      작다    79      크다    74      넓다    57      길다    54      힘들다    47      빠르다    44      아쉽다    40      괜찮다    38      맑다    37      늦다    36      예쁘다    35      쉽다    33      그렇다    30      짧다    29      낮다    29      편하다    28      멀다    26     다 르다    25      적다    25      재밌다    23      깊다    19      이쁘다    18      재미있다    17      귀엽다    17      새롭다    17      밝다    17      싫다    16      비싸다    15      멋있다    15      멋지다    15      좁다    14      검다    13      아름답다    13      바쁘다    13      아프다    12      무섭다    12      맛나다    11      가볍다    10      귀찮다    10      덥다    10      어렵다    10      고맙다    10      싸다    9      반갑다    9      갓다    9      즐겁다    8      나쁘다    8      느리다    8      급하다    8      가깝다    7      이렇다    7      저렇다    7      지나치다    7      붉다    7      부드럽다    6      야무지다    6      고프다    6      맵다    6      흐리다    5      얕다    5      똑같다    5      젊다    5      엄청나다    5      하얗다    5      낫다    5      겉다    4      푸르다    4      손색없다    4      춥다    4      강하다    4      습지다    4      어이없다    4      미우다    4      구지다    4      슬프다    3      약하다    3      얇다    3      부럽다    3      어떻다    3      짙다    3      시끄럽다    3      알차다    3      배부르다    3      끊임없다    3      지겹다    3      굳다    3      낡다    3      힘차다    3      웁다    3      무겁다    2      흔하다    2      섭하다    2      뒤늦다    2  
가야공원 / 가야산책공원,    좋다    5520      있다    3473      같다    2914      많다    2489      없다    1895      맛있다    682      넓다    638      예쁘다    480      작다    444      크다    378      괜찮다    295      높다    284      힘들다    233      맑다    217      이쁘다    201      아쉽다    200      편하다    188      가볍다    179      길다    172      늦다    160      짧다    153      재밌다    145      쉽다    145      아름답다    139      멋지다    124     다 르다    122      그렇다    118      재미있다    108      멋있다    106      멀다    99      붉다    89      빠르다    86      가깝다    85      덥다    83      싫다    81      적다    77      귀엽다    77      어렵다    70      무섭다    63      밝다    62      즐겁다    54      낮다    51      깊다    51      좁다    50      젊다    46      새롭다    46      알차다    46      나쁘다    46      엄청나다    43      이렇다    40      수많다    38      비싸다    37      반갑다    37      지나치다    35      맛나다    30      똑같다    29      춥다    29      귀찮다    29      짙다    29      바쁘다    27      야무지다    26      급하다    25      곱다    25      얇다    24      싸다    22      부드럽다    21      얕다    21      드넓다    20      부럽다    20      습지다    19      뜨겁다    19      흐리다    18      가파르다    17      세다    16      아프다    16      푸르다    16      파랗다    15      맵다    15      강하다    15      안타깝다    15      저렇다    15      아깝다    14      흐드러지다    14      낫다    13      아쉬우다    13      고맙다    13      검다    13      나다    13      빨갛다    13      맛없다    13      힘드다    13      굵다    13      어둡다    12      환하다    11      고프다    11      놀랍다    11      어떻다    11      낡다    11      배부르다    10      드물다    10  
